ID,FIA_0010,FIA_0011,FIA_0012,FIA_0015,FIA_0016,FIA_0017,FIA_0018,FIA_0019,FIA_0020,FIA_0021,FIA_0022,FIA_0041,FIA_0042,FIA_0043,FIA_0051,FIA_0057,FIA_0059,FIA_0061,FIA_0062,FIA_0063,FIA_0064,FIA_0065,FIA_0066,FIA_0067,FIA_0068,FIA_0069,FIA_0070,FIA_0071,FIA_0072,FIA_0073,FIA_0081,FIA_0091,FIA_0093,FIA_0094,FIA_0095,FIA_0096,FIA_0097,FIA_0098,FIA_0101,FIA_0102,FIA_0103,FIA_0105,FIA_0106,FIA_0107,FIA_0108,FIA_0109,FIA_0110,FIA_0111,FIA_0112,FIA_0113,FIA_0114,FIA_0115,FIA_0116,FIA_0117,FIA_0118,FIA_0119,FIA_0120,FIA_0121,FIA_0122,FIA_0123,FIA_0124,FIA_0125,FIA_0126,FIA_0127,FIA_0128,FIA_0129,FIA_0130,FIA_0131,FIA_0132,FIA_0133,FIA_0134,FIA_0135,FIA_0136,FIA_0140,FIA_0142,FIA_0143,FIA_0201,FIA_0202,FIA_0211,FIA_0212,FIA_0221,FIA_0222,FIA_0230,FIA_0241,FIA_0242,FIA_0250,FIA_0260,FIA_0261,FIA_0262,FIA_0263,FIA_0264,FIA_0310,FIA_0311,FIA_0312,FIA_0313,FIA_0314,FIA_0315,FIA_0316,FIA_0317,FIA_0318,FIA_0319,FIA_0320,FIA_0321,FIA_0322,FIA_0323,FIA_0330,FIA_0331,FIA_0332,FIA_0334,FIA_0341,FIA_0345,FIA_0351,FIA_0352,FIA_0355,FIA_0356,FIA_0361,FIA_0367,FIA_0370,FIA_0371,FIA_0372,FIA_0373,FIA_0374,FIA_0375,FIA_0378,FIA_0379,FIA_0381,FIA_0391,FIA_0400,FIA_0401,FIA_0402,FIA_0403,FIA_0404,FIA_0405,FIA_0406,FIA_0407,FIA_0408,FIA_0409,FIA_0410,FIA_0421,FIA_0422,FIA_0431,FIA_0450,FIA_0451,FIA_0452,FIA_0460,FIA_0461,FIA_0462,FIA_0463,FIA_0471,FIA_0475,FIA_0481,FIA_0491,FIA_0492,FIA_0500,FIA_0501,FIA_0502,FIA_0510,FIA_0521,FIA_0531,FIA_0540,FIA_0541,FIA_0542,FIA_0543,FIA_0544,FIA_0545,FIA_0546,FIA_0547,FIA_0548,FIA_0551,FIA_0552,FIA_0555,FIA_0571,FIA_0580,FIA_0591,FIA_0600,FIA_0601,FIA_0602,FIA_0611,FIA_0621,FIA_0631,FIA_0641,FIA_0650,FIA_0651,FIA_0652,FIA_0653,FIA_0654,FIA_0655,FIA_0660,FIA_0680,FIA_0681,FIA_0682,FIA_0691,FIA_0692,FIA_0693,FIA_0694,FIA_0701,FIA_0711,FIA_0712,FIA_0721,FIA_0722,FIA_0730,FIA_0729,FIA_0740,FIA_0741,FIA_0742,FIA_0743,FIA_0744,FIA_0745,FIA_0746,FIA_0747,FIA_0748,FIA_074x,FIA_0749,FIA_0752,FIA_0755,FIA_0756,FIA_0757,FIA_0758,FIA_0760,FIA_0761,FIA_0762,FIA_0763,FIA_0766,FIA_0800,FIA_0801,FIA_0802,FIA_0803,FIA_0804,FIA_0805,FIA_0806,FIA_0807,FIA_0808,FIA_0809,FIA_0810,FIA_0811,FIA_0812,FIA_0813,FIA_0814,FIA_0815,FIA_0816,FIA_0817,FIA_0818,FIA_0819,FIA_0820,FIA_0821,FIA_0822,FIA_0823,FIA_0824,FIA_0825,FIA_0826,FIA_0827,FIA_0828,FIA_0829,FIA_0830,FIA_0831,FIA_0832,FIA_0833,FIA_0834,FIA_0835,FIA_0836,FIA_0837,FIA_0838,FIA_0839,FIA_0840,FIA_0841,FIA_0842,FIA_0843,FIA_0844,FIA_0850,FIA_0901,FIA_0902,FIA_0919,FIA_0920,FIA_0921,FIA_0922,FIA_0927,FIA_0931,FIA_0935,FIA_0950,FIA_0951,FIA_0952,FIA_0953,FIA_0970,FIA_0971,FIA_0972,FIA_0973,FIA_0974,FIA_0975,FIA_0976,FIA_0977,FIA_0981,FIA_0989,FIA_0992,FIA_0993,FIA_0994,FIA_0995,FIA_0996,FIA_0997
8556,0,0,403957.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.8672201,1076427.767,0,0,0,0,0,159223.9843,513904.3678,0,0,0,0,0,0,462064.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291320.1326,0,0,0,207733.4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043527.278,0,0,0,0,0,0,0,0,0,0,67386.08234,0,0,65743.71541,3785.52764,356481.7428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504815.1519,0,0,0,3121.839059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713887.0207,182286.2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6876.773831,0,0,0,0,0,0,1406.292827,778125.4981,13304.51836,102659.2764,0,0,2903643.319,0,0,0,0,0,0,0,0,0,0,1894.797486,2027.246213,0,0,0,1287.898031,0,0,0,0,0,0,1190.851306,0,0,0,0,0,0,0,0,0,0,0,0,0,707440.2466,0,0,0,0,0,0,0,181830.3192,0,157248.4405,63160.70554,129294.9678,0,82868.44459,0,0,0,0,0,0,0,0,0,0,0,3104.779105,0,272.4461634,0,7234.63334,0,0,104197.06,0,0,0,30469.12224,125628.0542,1615.161694,0,57045.59531,0,1897.589893,0,0,0,2584.977269,0,0,0,0,973.3699547
8557,0,0,1355706.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.330813,2597895.35,0,0,0,0,0,511162.6744,2348080.917,0,0,0,0,0,0,747218.6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822318.2867,0,0,0,282524.5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4354453.706,0,0,0,0,0,0,0,0,0,0,38957.74509,0,0,156608.0219,23145.84329,387031.6153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973093.2318,0,0,0,4021.951687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116059.359,247941.4047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10784.93301,0,0,0,0,0,0,0,1650066.881,0,129956.6014,0,0,6197643.198,0,0,0,0,0,0,0,0,0,0,0,2518.291211,0,0,0,1400.062793,0,0,0,0,0,0,635.5031453,0,0,0,0,0,0,0,0,0,0,0,0,0,604133.1279,0,0,0,0,0,0,0,160629.5137,0,199524.6081,20506.57798,58527.40101,0,40106.56306,0,0,0,0,0,0,0,0,0,0,0,9340.344759,0,350.9999348,0,11425.7361,0,0,140915.6378,0,0,0,63052.2212,196976.5736,1009.227014,0,65322.50663,0,2444.717593,0,0,0,0,0,0,0,0,0
8728,0,0,488361.8101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.096597,1368239.933,0,0,0,0,0,188785.3554,658604.7911,0,0,0,0,0,0,632850.5394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406163.7296,0,0,0,213032.2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260181.256,0,0,0,0,0,0,0,0,0,0,56781.49655,0,0,61382.74276,3883.434064,333661.4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537899.6905,0,0,0,3851.717745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852948.0688,185291.6062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6791.065098,0,0,0,0,0,0,1735.080807,1003391.738,11105.13311,100318.9747,0,0,3579569.066,0,0,0,0,0,0,0,0,0,0,0,2411.701507,0,0,0,1340.803452,0,0,0,0,0,0,608.6047103,0,0,0,0,0,0,0,0,0,0,0,0,0,651735.1483,0,0,0,0,0,0,0,59867.13167,0,191079.4891,0,46429.5313,0,39446.33106,0,0,0,0,0,0,0,0,0,0,0,5353.14266,0,336.1434404,0,3255.134667,0,0,128558.0894,0,0,0,0,137216.1369,966.5102668,0,62557.65297,0,2341.241981,397.3396962,0,0,3189.338921,0,0,0,0,1258.294586
8729,0,0,1698244.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003225.116,0,0,0,0,0,578742.9085,3409045.31,0,0,0,0,0,0,687779.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837502.4193,0,0,0,100230.0795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367076.203,0,0,0,0,0,0,0,0,0,0,42106.48824,0,0,149842.5055,30921.37695,63462.24516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865161.6194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250046.135,160005.0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6865.409017,0,0,0,0,0,0,0,1663725.674,0,50059.32774,0,0,6038654.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125697.3334,0,0,0,0,0,0,0,260172.0532,0,0,33214.55923,94796.98805,0,0,0,0,0,0,0,0,0,0,0,0,0,15128.5814,0,0,0,18506.29534,0,0,10812.618,0,0,0,102125.8514,106706.8944,1634.647695,0,3029.950574,0,0,0,0,0,0,0,0,0,0,0
8900,0,0,438433.0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571259.849,0,0,0,0,0,94037.45523,992911.1409,0,0,0,0,0,0,780039.2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274134.5623,0,0,0,4162.35494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634302.4377,0,0,0,0,0,0,0,0,0,0,28865.78422,0,0,0,0,1286.890495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283036.6237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375577.075,70091.41574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818364.1815,0,1530.3625,0,0,2127762.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167538.2804,0,0,0,0,0,0,0,134758.2869,0,0,0,90369.98779,0,2498.017932,0,0,0,0,0,0,0,0,0,0,0,12891.06767,0,0,0,0,0,0,0,0,0,0,0,28100.24964,2327.483133,0,4314.176611,0,0,956.8459568,0,0,0,0,0,0,0,3030.137937
8901,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9072,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9073,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
