"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-119.992039246142,-117.257213408134,-114.522387570125,-111.787561732117,-109.052735894109,-106.3179100561,-103.583084218092,-100.848258380084,-98.1134325420752,-95.3786067040668,-92.6437808660585,-89.9089550280501,-87.1741291900418,-84.4393033520334,-81.7044775140251,-78.9696516760167,-76.2348258380083
-116.735706502446,-112.574782590537,-108.413858678629,-104.25293476672,-100.092010854812,-95.9310869429031,-91.7701630309945,-87.6092391190859,-83.4483152071773,-79.2873912952687,-75.1264673833601,-70.9655434714515,-66.8046195595429,-62.6436956476343,-58.4827717357258,-54.3218478238172,-50.1609239119086
-116.886455362822,-113.775487400303,-110.664519437784,-107.553551475265,-104.442583512746,-101.331615550227,-98.2206475877084,-95.1096796251894,-91.9987116626705,-88.8877437001515,-85.7767757376326,-82.6658077751136,-79.5548398125947,-76.4438718500758,-73.3329038875568,-70.2219359250379,-67.1109679625189
-116.234022277343,-114.161432731617,-112.088843185891,-110.016253640165,-107.943664094439,-105.871074548713,-103.798485002987,-101.725895457261,-99.6533059115345,-97.5807163658085,-95.5081268200824,-93.4355372743564,-91.3629477286303,-89.2903581829042,-87.2177686371782,-85.1451790914521,-83.0725895457261
-116.382489870015,-112.801166936485,-109.219844002954,-105.638521069424,-102.057198135894,-98.4758752023635,-94.8945522688332,-91.3132293353029,-87.7319064017726,-84.1505834682424,-80.5692605347121,-76.9879376011818,-73.4066146676515,-69.8252917341212,-66.2439688005909,-62.6626458670606,-59.0813229335303
-115.723449398711,-115.23971708114,-114.755984763569,-114.272252445997,-113.788520128426,-113.304787810855,-112.821055493284,-112.337323175712,-111.853590858141,-111.36985854057,-110.886126222999,-110.402393905427,-109.918661587856,-109.434929270285,-108.951196952714,-108.467464635142,-107.983732317571
-115.297653965912,-114.927203732623,-114.556753499334,-114.186303266045,-113.815853032756,-113.445402799467,-113.074952566178,-112.704502332889,-112.3340520996,-111.963601866312,-111.593151633023,-111.222701399734,-110.852251166445,-110.481800933156,-110.111350699867,-109.740900466578,-109.370450233289
-116.087667100056,-113.964863152994,-111.842059205932,-109.71925525887,-107.596451311808,-105.473647364745,-103.350843417683,-101.228039470621,-99.1052355235591,-96.9824315764969,-94.8596276294348,-92.7368236823727,-90.6140197353106,-88.4912157882485,-86.3684118411863,-84.2456078941242,-82.1228039470621
-115.437559508504,-113.647114831533,-111.856670154562,-110.066225477592,-108.275780800621,-106.48533612365,-104.694891446679,-102.904446769708,-101.114002092737,-99.3235574157666,-97.5331127387958,-95.7426680618249,-93.9522233848541,-92.1617787078833,-90.3713340309125,-88.5808893539416,-86.7904446769708
-114.785440181184,-113.974531935232,-113.16362368928,-112.352715443328,-111.541807197376,-110.730898951424,-109.919990705472,-109.10908245952,-108.298174213568,-107.487265967616,-106.676357721664,-105.865449475712,-105.05454122976,-104.243632983808,-103.432724737856,-102.621816491904,-101.810908245952
-115.579476982329,-113.751272453957,-111.923067925584,-110.094863397212,-108.26665886884,-106.438454340468,-104.610249812095,-102.782045283723,-100.953840755351,-99.1256362269783,-97.2974316986061,-95.4692271702338,-93.6410226418615,-91.8128181134892,-89.9846135851169,-88.1564090567446,-86.3282045283723
-114.922876946992,-113.986237126581,-113.049597306169,-112.112957485758,-111.176317665347,-110.239677844936,-109.303038024524,-108.366398204113,-107.429758383702,-106.49311856329,-105.556478742879,-104.619838922468,-103.683199102056,-102.746559281645,-101.809919461234,-100.873279640823,-99.9366398204113
-115.062309969114,-114.646879970931,-114.231449972748,-113.816019974564,-113.400589976381,-112.985159978198,-112.569729980015,-112.154299981832,-111.738869983649,-111.323439985465,-110.908009987282,-110.492579989099,-110.077149990916,-109.661719992733,-109.24628999455,-108.830859996366,-108.415429998183
-113.871185357815,-114.231703866179,-114.592222374543,-114.952740882906,-115.31325939127,-115.673777899634,-116.034296407998,-116.394814916362,-116.755333424726,-117.115851933089,-117.476370441453,-117.836888949817,-118.197407458181,-118.557925966545,-118.918444474909,-119.278962983272,-119.639481491636
-113.224164996269,-112.799214114136,-112.374263232002,-111.949312349869,-111.524361467735,-111.099410585602,-110.674459703468,-110.249508821335,-109.824557939201,-109.399607057068,-108.974656174934,-108.549705292801,-108.124754410667,-107.699803528534,-107.2748526464,-106.849901764267,-106.424950882133
-114.64995771689,-111.64113667472,-108.63231563255,-105.62349459038,-102.61467354821,-99.60585250604,-96.59703146387,-93.5882104217,-90.57938937953,-87.57056833736,-84.56174729519,-81.55292625302,-78.54410521085,-75.53528416868,-72.52646312651,-69.51764208434,-66.50882104217
-114.000348156165,-111.559151205802,-109.11795425544,-106.676757305077,-104.235560354714,-101.794363404352,-99.3531664539891,-96.9119695036265,-94.4707725532638,-92.0295756029012,-89.5883786525385,-87.1471817021759,-84.7059847518132,-82.2647878014506,-79.8235908510879,-77.3823939007253,-74.9411969503627
-113.348882987214,-112.769536929143,-112.190190871071,-111.610844813,-111.031498754928,-110.452152696857,-109.872806638786,-109.293460580714,-108.714114522643,-108.134768464571,-107.5554224065,-106.976076348428,-106.396730290357,-105.817384232286,-105.238038174214,-104.658692116143,-104.079346058071
-112.695621000872,-112.625290353762,-112.554959706652,-112.484629059542,-112.414298412432,-112.343967765321,-112.273637118211,-112.203306471101,-112.132975823991,-112.062645176881,-111.992314529771,-111.921983882661,-111.851653235551,-111.78132258844,-111.71099194133,-111.64066129422,-111.57033064711
-114.131366744011,-112.153051053187,-110.174735362363,-108.196419671538,-106.218103980714,-104.23978828989,-102.261472599066,-100.283156908242,-98.3048412174176,-96.3265255265934,-94.3482098357692,-92.3698941449451,-90.3915784541209,-88.4132627632967,-86.4349470724725,-84.4566313816484,-82.4783156908242
-113.475397972597,-113.506256915385,-113.537115858174,-113.567974800962,-113.598833743751,-113.629692686539,-113.660551629327,-113.691410572116,-113.722269514904,-113.753128457693,-113.783987400481,-113.81484634327,-113.845705286058,-113.876564228846,-113.907423171635,-113.938282114423,-113.969141057212
-114.264280853689,-114.248734921119,-114.233188988549,-114.217643055979,-114.202097123409,-114.186551190839,-114.171005258269,-114.155459325699,-114.139913393129,-114.12436746056,-114.10882152799,-114.09327559542,-114.07772966285,-114.06218373028,-114.04663779771,-114.03109186514,-114.01554593257
-113.603748574574,-113.832939834893,-114.062131095212,-114.291322355532,-114.520513615851,-114.74970487617,-114.978896136489,-115.208087396808,-115.437278657127,-115.666469917447,-115.895661177766,-116.124852438085,-116.354043698404,-116.583234958723,-116.812426219042,-117.041617479362,-117.270808739681
-114.399131343359,-115.875653029044,-117.352174714729,-118.828696400413,-120.305218086098,-121.781739771783,-123.258261457468,-124.734783143152,-126.211304828837,-127.687826514522,-129.164348200207,-130.640869885891,-132.117391571576,-133.593913257261,-135.070434942946,-136.54695662863,-138.023478314315
-112.817593767852,-112.769500016802,-112.721406265752,-112.673312514702,-112.625218763652,-112.577125012601,-112.529031261551,-112.480937510501,-112.432843759451,-112.384750008401,-112.336656257351,-112.288562506301,-112.240468755251,-112.1923750042,-112.14428125315,-112.0961875021,-112.04809375105
-112.158015130005,-112.648720122358,-113.13942511471,-113.630130107063,-114.120835099416,-114.611540091768,-115.102245084121,-115.592950076474,-116.083655068826,-116.574360061179,-117.065065053531,-117.555770045884,-118.046475038237,-118.537180030589,-119.027885022942,-119.518590015295,-120.009295007647
-112.941341146607,-113.26832107916,-113.595301011712,-113.922280944265,-114.249260876817,-114.57624080937,-114.903220741922,-115.230200674475,-115.557180607027,-115.88416053958,-116.211140472132,-116.538120404685,-116.865100337237,-117.19208026979,-117.519060202342,-117.846040134895,-118.173020067447
-112.277120744908,-113.025525406972,-113.773930069036,-114.522334731101,-115.270739393165,-116.019144055229,-116.767548717293,-117.515953379358,-118.264358041422,-119.012762703486,-119.76116736555,-120.509572027615,-121.257976689679,-122.006381351743,-122.754786013807,-123.503190675872,-124.251595337936
-112.040622050015,-112.33235016472,-112.624078279425,-112.91580639413,-113.207534508835,-113.49926262354,-113.790990738245,-114.08271885295,-114.374446967655,-114.66617508236,-114.957903197065,-115.24963131177,-115.541359426475,-115.83308754118,-116.124815655885,-116.41654377059,-116.708271885295
-111.383947022747,-111.890773668468,-112.397600314189,-112.904426959909,-113.41125360563,-113.918080251351,-114.424906897072,-114.931733542792,-115.438560188513,-115.945386834234,-116.452213479955,-116.959040125675,-117.465866771396,-117.972693417117,-118.479520062838,-118.986346708558,-119.493173354279
-111.496724131073,-112.085152123363,-112.673580115653,-113.262008107942,-113.850436100232,-114.438864092522,-115.027292084812,-115.615720077102,-116.204148069392,-116.792576061681,-117.381004053971,-117.969432046261,-118.557860038551,-119.146288030841,-119.734716023131,-120.32314401542,-120.91157200771
-111.611150654478,-112.134024145391,-112.656897636304,-113.179771127217,-113.70264461813,-114.225518109043,-114.748391599956,-115.271265090869,-115.794138581782,-116.317012072696,-116.839885563609,-117.362759054522,-117.885632545435,-118.408506036348,-118.931379527261,-119.454253018174,-119.977126509087
-110.72565781413,-111.947677942711,-113.169698071291,-114.391718199872,-115.613738328452,-116.835758457033,-118.057778585614,-119.279798714194,-120.501818842775,-121.723838971355,-122.945859099936,-124.167879228516,-125.389899357097,-126.611919485678,-127.833939614258,-129.055959742839,-130.277979871419
-110.833783885792,-112.372973068981,-113.912162252169,-115.451351435358,-116.990540618547,-118.529729801736,-120.068918984924,-121.608108168113,-123.147297351302,-124.68648653449,-126.225675717679,-127.764864900868,-129.304054084056,-130.843243267245,-132.382432450434,-133.921621633623,-135.460810816811
-110.943495240318,-112.505642579123,-114.067789917928,-115.629937256732,-117.192084595537,-118.754231934342,-120.316379273147,-121.878526611952,-123.440673950757,-125.002821289561,-126.564968628366,-128.127115967171,-129.689263305976,-131.251410644781,-132.813557983586,-134.37570532239,-135.937852661195
-109.963863714843,-111.113048202205,-112.262232689567,-113.41141717693,-114.560601664292,-115.709786151654,-116.858970639016,-118.008155126378,-119.15733961374,-120.306524101103,-121.455708588465,-122.604893075827,-123.754077563189,-124.903262050551,-126.052446537913,-127.201631025276,-128.350815512638
-109.307188331325,-110.8773537236,-112.447519115875,-114.01768450815,-115.587849900425,-117.1580152927,-118.728180684975,-120.29834607725,-121.868511469525,-123.4386768618,-125.008842254075,-126.57900764635,-128.149173038625,-129.7193384309,-131.289503823175,-132.85966921545,-134.429834607725
-110.065817296464,-111.650180984907,-113.234544673351,-114.818908361794,-116.403272050237,-117.98763573868,-119.571999427124,-121.156363115567,-122.74072680401,-124.325090492454,-125.909454180897,-127.49381786934,-129.078181557784,-130.662545246227,-132.24690893467,-133.831272623113,-135.415636311557
-109.404489281532,-111.410107559089,-113.415725836646,-115.421344114203,-117.42696239176,-119.432580669317,-121.438198946874,-123.443817224431,-125.449435501988,-127.455053779544,-129.460672057101,-131.466290334658,-133.471908612215,-135.477526889772,-137.483145167329,-139.488763444886,-141.494381722443
-110.169258521033,-112.541655078619,-114.914051636206,-117.286448193792,-119.658844751378,-122.031241308964,-124.403637866551,-126.776034424137,-129.148430981723,-131.52082753931,-133.893224096896,-136.265620654482,-138.638017212069,-141.010413769655,-143.382810327241,-145.755206884827,-148.127603442414
-109.503213137058,-113.061847658408,-116.620482179757,-120.179116701107,-123.737751222456,-127.296385743806,-130.855020265155,-134.413654786505,-137.972289307854,-141.530923829204,-145.089558350553,-148.648192871903,-152.206827393252,-155.765461914602,-159.324096435951,-162.882730957301,-166.44136547865
-110.274219915943,-113.611030509123,-116.947841102303,-120.284651695482,-123.621462288662,-126.958272881842,-130.295083475022,-133.631894068202,-136.968704661382,-140.305515254561,-143.642325847741,-146.979136440921,-150.315947034101,-153.652757627281,-156.989568220461,-160.32637881364,-163.66318940682
-104.675127903112,-108.958943908811,-113.242759914511,-117.52657592021,-121.810391925909,-126.094207931608,-130.378023937308,-134.661839943007,-138.945655948706,-143.229471954406,-147.513287960105,-151.797103965804,-156.080919971504,-160.364735977203,-164.648551982902,-168.932367988601,-173.216183994301
-104.00915634466,-108.390970677327,-112.772785009994,-117.154599342661,-121.536413675328,-125.918228007995,-130.300042340662,-134.681856673329,-139.063671005996,-143.445485338664,-147.827299671331,-152.209114003998,-156.590928336665,-160.972742669332,-165.354557001999,-169.736371334666,-174.118185667333
-104.739087272956,-109.019140962782,-113.299194652608,-117.579248342434,-121.85930203226,-126.139355722087,-130.419409411913,-134.699463101739,-138.979516791565,-143.259570481391,-147.539624171217,-151.819677861043,-156.099731550869,-160.379785240696,-164.659838930522,-168.939892620348,-173.219946310174
-104.068258993406,-109.181890817323,-114.295522641241,-119.409154465158,-124.522786289075,-129.636418112992,-134.75004993691,-139.863681760827,-144.977313584744,-150.090945408662,-155.204577232579,-160.318209056496,-165.431840880414,-170.545472704331,-175.659104528248,-180.772736352165,-185.886368176083
-104.803993805352,-109.197876522684,-113.591759240016,-117.985641957349,-122.379524674681,-126.773407392013,-131.167290109345,-135.561172826678,-139.95505554401,-144.348938261342,-148.742820978674,-153.136703696007,-157.530586413339,-161.924469130671,-166.318351848003,-170.712234565336,-175.106117282668
-103.342327459903,-107.881014079909,-112.419700699914,-116.95838731992,-121.497073939926,-126.035760559932,-130.574447179937,-135.113133799943,-139.651820419949,-144.190507039954,-148.72919365996,-153.267880279966,-157.806566899971,-162.345253519977,-166.883940139983,-171.422626759989,-175.961313379994
-102.674711011398,-107.929139775433,-113.183568539469,-118.437997303504,-123.69242606754,-128.946854831575,-134.20128359561,-139.455712359646,-144.710141123681,-149.964569887717,-155.218998651752,-160.473427415788,-165.727856179823,-170.982284943858,-176.236713707894,-181.491142471929,-186.745571235965
-103.396554368464,-108.432051170319,-113.467547972174,-118.503044774029,-123.538541575884,-128.574038377739,-133.609535179594,-138.645031981449,-143.680528783304,-148.71602558516,-153.751522387015,-158.78701918887,-163.822515990725,-168.85801279258,-173.893509594435,-178.92900639629,-183.964503198145
-102.724044678958,-108.269689109608,-113.815333540257,-119.360977970907,-124.906622401556,-130.452266832206,-135.997911262855,-141.543555693505,-147.089200124154,-152.634844554804,-158.180488985453,-163.726133416103,-169.271777846752,-174.817422277402,-180.363066708051,-185.908711138701,-191.45435556935
-102.0063772641,-107.123649189741,-112.240921115382,-117.358193041024,-122.475464966665,-127.592736892306,-132.710008817947,-137.827280743588,-142.944552669229,-148.061824594871,-153.179096520512,-158.296368446153,-163.413640371794,-168.530912297435,-173.648184223076,-178.765456148718,-183.882728074359
-102.050801726768,-107.459578095782,-112.868354464795,-118.277130833809,-123.685907202823,-129.094683571836,-134.50345994085,-139.912236309864,-145.321012678877,-150.729789047891,-156.138565416904,-161.547341785918,-166.956118154932,-172.364894523945,-177.773670892959,-183.182447261973,-188.591223630986
-101.337396942089,-106.199903004319,-111.062409066549,-115.924915128779,-120.787421191009,-125.649927253239,-130.512433315469,-135.374939377699,-140.237445439929,-145.09995150216,-149.96245756439,-154.82496362662,-159.68746968885,-164.54997575108,-169.41248181331,-174.27498787554,-179.13749393777
-101.376897789994,-107.001786155288,-112.626674520583,-118.251562885877,-123.876451251172,-129.501339616466,-135.126227981761,-140.751116347055,-146.37600471235,-152.000893077644,-157.625781442939,-163.250669808233,-168.875558173528,-174.500446538822,-180.125334904117,-185.750223269411,-191.375111634706
-100.667841184577,-106.628556409014,-112.58927163345,-118.549986857887,-124.510702082324,-130.47141730676,-136.432132531197,-142.392847755634,-148.35356298007,-154.314278204507,-160.274993428943,-166.23570865338,-172.196423877817,-178.157139102253,-184.11785432669,-190.078569551127,-196.039284775563
-99.9977815012495,-105.792029648235,-111.58627779522,-117.380525942205,-123.174774089191,-128.969022236176,-134.763270383161,-140.557518530147,-146.351766677132,-152.146014824117,-157.940262971103,-163.734511118088,-169.528759265073,-175.323007412059,-181.117255559044,-186.911503706029,-192.705751853015
-100.702405577352,-106.719911131625,-112.737416685899,-118.754922240172,-124.772427794446,-130.789933348719,-136.807438902992,-142.824944457266,-148.842450011539,-154.859955565813,-160.877461120086,-166.89496667436,-172.912472228633,-178.929977782906,-184.94748333718,-190.964988891453,-196.982494445727
-100.027398181879,-106.584610053533,-113.141821925187,-119.699033796842,-126.256245668496,-132.81345754015,-139.370669411804,-145.927881283458,-152.485093155112,-159.042305026767,-165.599516898421,-172.156728770075,-178.713940641729,-185.271152513383,-191.828364385037,-198.385576256692,-204.942788128346
-99.3272897270123,-105.190390331306,-111.053490935599,-116.916591539892,-122.779692144186,-128.642792748479,-134.505893352773,-140.368993957066,-146.232094561359,-152.095195165653,-157.958295769946,-163.82139637424,-169.684496978533,-175.547597582826,-181.41069818712,-187.273798791413,-193.136899395707
-99.3519490340062,-105.301834384947,-111.251719735888,-117.201605086829,-123.151490437769,-129.10137578871,-135.051261139651,-141.001146490592,-146.951031841533,-152.900917192474,-158.850802543414,-164.800687894355,-170.750573245296,-176.700458596237,-182.650343947178,-188.600229298118,-194.550114649059
-98.6564379762173,-104.823706330557,-110.990974684898,-117.158243039238,-123.325511393578,-129.492779747918,-135.660048102258,-141.827316456598,-147.994584810939,-154.161853165279,-160.329121519619,-166.496389873959,-172.663658228299,-178.830926582639,-184.99819493698,-191.16546329132,-197.33273164566
-98.6761318540902,-105.077535862673,-111.478939871256,-117.880343879839,-124.281747888422,-130.683151897005,-137.084555905588,-143.485959914171,-149.887363922754,-156.288767931337,-162.690171939919,-169.091575948502,-175.492979957085,-181.894383965668,-188.295787974251,-194.697191982834,-201.098595991417
-97.9852985964371,-104.044986914294,-110.10467523215,-116.164363550007,-122.224051867864,-128.28374018572,-134.343428503577,-140.403116821434,-146.46280513929,-152.522493457147,-158.582181775004,-164.64187009286,-170.701558410717,-176.761246728573,-182.82093504643,-188.880623364287,-194.940311682143
-98.0000206044609,-103.941195863022,-109.882371121583,-115.823546380144,-121.764721638705,-127.705896897267,-133.647072155828,-139.588247414389,-145.52942267295,-151.470597931511,-157.411773190072,-163.352948448633,-169.294123707194,-175.235298965755,-181.176474224317,-187.117649482878,-193.058824741439
-97.3139441218632,-103.324888585283,-109.335833048703,-115.346777512123,-121.357721975542,-127.368666438962,-133.379610902382,-139.390555365802,-145.401499829222,-151.412444292642,-157.423388756061,-163.434333219481,-169.445277682901,-175.456222146321,-181.467166609741,-187.47811107316,-193.48905553658
-97.3236894410795,-103.687001826898,-110.050314212717,-116.413626598536,-122.776938984355,-129.140251370174,-135.503563755993,-141.866876141811,-148.23018852763,-154.593500913449,-160.956813299268,-167.320125685087,-173.683438070906,-180.046750456725,-186.410062842543,-192.773375228362,-199.136687614181
-96.642447226401,-103.457597389554,-110.272747552707,-117.08789771586,-123.903047879013,-130.718198042165,-137.533348205318,-144.348498368471,-151.163648531624,-157.978798694777,-164.79394885793,-171.609099021083,-178.424249184236,-185.239399347388,-192.054549510541,-198.869699673694,-205.684849836847
-96.6472126648747,-103.579729566941,-110.512246469007,-117.444763371073,-124.377280273139,-131.309797175206,-138.242314077272,-145.174830979338,-152.107347881404,-159.03986478347,-165.972381685537,-172.904898587603,-179.837415489669,-186.769932391735,-193.702449293801,-200.634966195868,-207.567483097934
-95.9708806765389,-103.090240636742,-110.209600596946,-117.32896055715,-124.448320517353,-131.567680477557,-138.68704043776,-145.806400397964,-152.925760358168,-160.045120318371,-167.164480278575,-174.283840238778,-181.403200198982,-188.522560159186,-195.641920119389,-202.761280079593,-209.880640039796
