"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"BERLANDIER ASH, MEXICAN ASH","FRAXINUS BERLANDIERIANA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",5491,"FRBE","BERLANDIER ASH, MEXICAN ASH","","berlandieriana","","5491","FRBE","Berlandier ash, Mexican ash","","berlandieriana","FRAXINUS BERLANDIERIANA"
"BERLANDIER ASH, MEXICAN ASH","FRAXINUS BERLANDIERIANA","Emerald ash borer (Agrilus planipennis)*","I/B",9,"Agrilus planipennis","Fraxinus",5491,"FRBE","BERLANDIER ASH, MEXICAN ASH","","berlandieriana","","5491","FRBE","Berlandier ash, Mexican ash","","berlandieriana","FRAXINUS BERLANDIERIANA"
"BIGLEAF MAPLE","ACER MACROPHYLLUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",312,"ACMA3","BIGLEAF MAPLE","Acer","macrophyllum","acer","0312","ACMA3","bigleaf maple","Acer","macrophyllum","ACER MACROPHYLLUM"
"BIGLEAF MAPLE","ACER MACROPHYLLUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",312,"ACMA3","BIGLEAF MAPLE","Acer","macrophyllum","acer","0312","ACMA3","bigleaf maple","Acer","macrophyllum","ACER MACROPHYLLUM"
"BIGLEAF MAPLE","ACER MACROPHYLLUM","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",312,"ACMA3","BIGLEAF MAPLE","Acer","macrophyllum","acer","0312","ACMA3","bigleaf maple","Acer","macrophyllum","ACER MACROPHYLLUM"
"BIGTOOTH ASPEN","POPULUS GRANDIDENTATA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Populus",743,"POGR4","BIGTOOTH ASPEN","Populus","grandidentata","populus","0743","POGR4","bigtooth aspen","Populus","grandidentata","POPULUS GRANDIDENTATA"
"BIGTOOTH MAPLE","ACER GRANDIDENTATUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",322,"ACGR3","BIGTOOTH MAPLE","Acer","grandidentatum","acer","0322","ACGR3","bigtooth maple","Acer","grandidentatum","ACER GRANDIDENTATUM"
"BIGTOOTH MAPLE","ACER GRANDIDENTATUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",1,"Lepidosaphes ulmi","Acer",322,"ACGR3","BIGTOOTH MAPLE","Acer","grandidentatum","acer","0322","ACGR3","bigtooth maple","Acer","grandidentatum","ACER GRANDIDENTATUM"
"BIGTOOTH MAPLE","ACER GRANDIDENTATUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",322,"ACGR3","BIGTOOTH MAPLE","Acer","grandidentatum","acer","0322","ACGR3","bigtooth maple","Acer","grandidentatum","ACER GRANDIDENTATUM"
"BISHOP PINE","PINUS MURICATA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",120,"PIMU","BISHOP PINE","","muricata","","0120","PIMU","bishop pine","","muricata","PINUS MURICATA"
"BISHOP PINE","PINUS MURICATA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",120,"PIMU","BISHOP PINE","","muricata","","0120","PIMU","bishop pine","","muricata","PINUS MURICATA"
"BLACK ASH","FRAXINUS NIGRA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",543,"FRNI","BLACK ASH","","nigra","","0543","FRNI","black ash","","nigra","FRAXINUS NIGRA"
"BLACK ASH","FRAXINUS NIGRA","Emerald ash borer (Agrilus planipennis)*","I/B",10,"Agrilus planipennis","Fraxinus",543,"FRNI","BLACK ASH","","nigra","","0543","FRNI","black ash","","nigra","FRAXINUS NIGRA"
"BLACK COTTONWOOD","POPULUS BALSAMIFERA S. TRICHOCARPA","Oystershell scale (Lepidosaphes ulmi)*","I/S",1,"Lepidosaphes ulmi","Populus",747,"POBAT","BLACK COTTONWOOD","Populus","balsamifera ssp. trichocarpa","populus","0747","POBAT","black cottonwood","Populus","balsamifera ssp. trichocarpa","POPULUS BALSAMIFERA S. TRICHOCARPA"
"BLACK COTTONWOOD","POPULUS BALSAMIFERA S. TRICHOCARPA","Poplar-and-willow borer (Cryptorhynchus lapathi)*","I/B",1,"Cryptorhynchus lapathi","Populus",747,"POBAT","BLACK COTTONWOOD","Populus","balsamifera ssp. trichocarpa","populus","0747","POBAT","black cottonwood","Populus","balsamifera ssp. trichocarpa","POPULUS BALSAMIFERA S. TRICHOCARPA"
"BLACK MAPLE","ACER NIGRUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",314,"ACNI5","BLACK MAPLE","Acer","nigrum","acer","0314","ACNI5","black maple","Acer","nigrum","ACER NIGRUM"
"BLACK MAPLE","ACER NIGRUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",314,"ACNI5","BLACK MAPLE","Acer","nigrum","acer","0314","ACNI5","black maple","Acer","nigrum","ACER NIGRUM"
"BLACK MAPLE","ACER NIGRUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",314,"ACNI5","BLACK MAPLE","Acer","nigrum","acer","0314","ACNI5","black maple","Acer","nigrum","ACER NIGRUM"
"BLACK OAK","QUERCUS VELUTINA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",837,"QUVE","BLACK OAK","Quercus","velutina","quercus","0837","QUVE","black oak","Quercus","velutina","QUERCUS VELUTINA"
"BLACK OAK","QUERCUS VELUTINA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",837,"QUVE","BLACK OAK","Quercus","velutina","quercus","0837","QUVE","black oak","Quercus","velutina","QUERCUS VELUTINA"
"BLACK WILLOW","SALIX NIGRA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",1,"Anoplophora glabripennis","Salix",922,"SANI","BLACK WILLOW","Salix","nigra","salix","0922","SANI","black willow","Salix","nigra","SALIX NIGRA"
