"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"COMMON PINYON, TWO-NEEDLE","PINUS EDULIS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",106,"PIED","COMMON PINYON, TWO-NEEDLE","","edulis","","0106","PIED","Common pinyon, two-needle","","edulis","PINUS EDULIS"
"COMMON SERVICEBERRY","AMELANCHIER ARBOREA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Amelanchier",357,"AMAR3","COMMON SERVICEBERRY","Amelanchier","arborea","amelanchier","0357","AMAR3","common serviceberry","Amelanchier","arborea","AMELANCHIER ARBOREA"
"COULTER PINE","PINUS COULTERI","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",109,"PICO3","COULTER PINE","","coulteri","","0109","PICO3","Coulter pine","","coulteri","PINUS COULTERI"
"COULTER PINE","PINUS COULTERI","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",109,"PICO3","COULTER PINE","","coulteri","","0109","PICO3","Coulter pine","","coulteri","PINUS COULTERI"
"DELTA POST OAK","QUERCUS SIMILIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",836,"QUSI2","DELTA POST OAK","Quercus","similis","quercus","0836","QUSI2","Delta post oak","Quercus","similis","QUERCUS SIMILIS"
"DELTA POST OAK","QUERCUS SIMILIS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",836,"QUSI2","DELTA POST OAK","Quercus","similis","quercus","0836","QUSI2","Delta post oak","Quercus","similis","QUERCUS SIMILIS"
"DOWNY HAWTHORN","CRATAEGUS MOLLIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Crataegus",502,"CRMO2","DOWNY HAWTHORN","","mollis","","0502","CRMO2","downy hawthorn","","mollis","CRATAEGUS MOLLIS"
"DOWNY HAWTHORN","CRATAEGUS MOLLIS","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",502,"CRMO2","DOWNY HAWTHORN","","mollis","","0502","CRMO2","downy hawthorn","","mollis","CRATAEGUS MOLLIS"
"DOWNY HAWTHORN","CRATAEGUS MOLLIS","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",502,"CRMO2","DOWNY HAWTHORN","","mollis","","0502","CRMO2","downy hawthorn","","mollis","CRATAEGUS MOLLIS"
"DWARF CHINKAPIN OAK","QUERCUS PRINOIDES","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",845,"QUPR","DWARF CHINKAPIN OAK","","prinoides","","0845","QUPR","dwarf chinkapin oak","","prinoides","QUERCUS PRINOIDES"
"DWARF CHINKAPIN OAK","QUERCUS PRINOIDES","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",845,"QUPR","DWARF CHINKAPIN OAK","","prinoides","","0845","QUPR","dwarf chinkapin oak","","prinoides","QUERCUS PRINOIDES"
"DWARF LIVE OAK","QUERCUS MINIMA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",841,"QUMI2","DWARF LIVE OAK","","minima","","0841","QUMI2","dwarf live oak","","minima","QUERCUS MINIMA"
"DWARF LIVE OAK","QUERCUS MINIMA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",841,"QUMI2","DWARF LIVE OAK","","minima","","0841","QUMI2","dwarf live oak","","minima","QUERCUS MINIMA"
"EASTERN HEMLOCK","TSUGA CANADENSIS","Hemlock woolly adelgid (Adelges tsugae)*","I/S",10,"Adelges tsugae","Tsuga",261,"TSCA","EASTERN HEMLOCK","Tsuga","canadensis","tsuga","0261","TSCA","eastern hemlock","Tsuga","canadensis","TSUGA CANADENSIS"
"EASTERN HEMLOCK","TSUGA CANADENSIS","Elongate hemlock scale (Fiorinia externa)*","I/S",3,"Fiorinia externa","Tsuga",261,"TSCA","EASTERN HEMLOCK","Tsuga","canadensis","tsuga","0261","TSCA","eastern hemlock","Tsuga","canadensis","TSUGA CANADENSIS"
"EASTERN HOPHORNBEAM","OSTRYA VIRGINIANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Ostrya",701,"OSVI","EASTERN HOPHORNBEAM","Ostrya","virginiana","ostrya","0701","OSVI","eastern hophornbeam","Ostrya","virginiana","OSTRYA VIRGINIANA"
"EASTERN REDCEDAR","JUNIPERUS VIRGINIANA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",68,"JUVI","EASTERN REDCEDAR","Juniperus","virginiana","juniperus","0068","JUVI","eastern redcedar","Juniperus","virginiana","JUNIPERUS VIRGINIANA"
"EASTERN WHITE PINE","PINUS STROBUS","Pine shoot beetle (Tomicus piniperda)*","I/B",1,"Tomicus piniperda","Pinus",129,"PIST","EASTERN WHITE PINE","","strobus","","0129","PIST","eastern white pine","","strobus","PINUS STROBUS"
"EASTERN WHITE PINE","PINUS STROBUS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",129,"PIST","EASTERN WHITE PINE","","strobus","","0129","PIST","eastern white pine","","strobus","PINUS STROBUS"
"EMORY OAK","QUERCUS EMORYI","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",810,"QUEM","EMORY OAK","Quercus","emoryi","quercus","0810","QUEM","Emory oak","Quercus","emoryi","QUERCUS EMORYI"
"ENGELMANN OAK","QUERCUS ENGELMANNII","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",811,"QUEN","ENGELMANN OAK","Quercus","engelmannii","quercus","0811","QUEN","Engelmann oak","Quercus","engelmannii","QUERCUS ENGELMANNII"
"FANLEAF HAWTHORN","CRATAEGUS FLABELLATA","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",507,"CRFL","FANLEAF HAWTHORN","","flabellata","","0507","CRFL","fanleaf hawthorn","","flabellata","CRATAEGUS FLABELLATA"
"FANLEAF HAWTHORN","CRATAEGUS FLABELLATA","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",507,"CRFL","FANLEAF HAWTHORN","","flabellata","","0507","CRFL","fanleaf hawthorn","","flabellata","CRATAEGUS FLABELLATA"
"FIREBERRY HAWTHORN","CRATAEGUS CHRYSOCARPA","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",505,"CRCH","FIREBERRY HAWTHORN","","chrysocarpa","","0505","CRCH","fireberry hawthorn","","chrysocarpa","CRATAEGUS CHRYSOCARPA"
"FIREBERRY HAWTHORN","CRATAEGUS CHRYSOCARPA","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",505,"CRCH","FIREBERRY HAWTHORN","","chrysocarpa","","0505","CRCH","fireberry hawthorn","","chrysocarpa","CRATAEGUS CHRYSOCARPA"
"FOUR-LEAF PINE, PARRY PINYON PINE PINUS","PINUS QUADRIFOLIA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",138,"PIQU","FOUR-LEAF PINE, PARRY PINYON PINE PINUS","","quadrifolia","","0138","PIQU","four-leaf pine, Parry pinyon pine Pinus","","quadrifolia","PINUS QUADRIFOLIA"
"FOUR-LEAF PINE, PARRY PINYON PINE PINUS","PINUS QUADRIFOLIA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",138,"PIQU","FOUR-LEAF PINE, PARRY PINYON PINE PINUS","","quadrifolia","","0138","PIQU","four-leaf pine, Parry pinyon pine Pinus","","quadrifolia","PINUS QUADRIFOLIA"
"FOXTAIL PINE","PINUS BALFOURIANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",104,"PIBA","FOXTAIL PINE","","balfouriana","","0104","PIBA","foxtail pine","","balfouriana","PINUS BALFOURIANA"
"FOXTAIL PINE","PINUS BALFOURIANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",104,"PIBA","FOXTAIL PINE","","balfouriana","","0104","PIBA","foxtail pine","","balfouriana","PINUS BALFOURIANA"
"FRASER FIR","ABIES FRASERI","Balsam woolly adelgid (Adelges piceae)*","I/S",8,"Adelges piceae","Abies",16,"ABFR","FRASER FIR","Abies","fraseri","abies","0016","ABFR","Fraser fir","Abies","fraseri","ABIES FRASERI"
"GAMBEL OAK","QUERCUS GAMBELII","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",814,"QUGA","GAMBEL OAK","Quercus","gambelii","quercus","0814","QUGA","Gambel oak","Quercus","gambelii","QUERCUS GAMBELII"
"GRAND FIR","ABIES GRANDIS","Balsam woolly adelgid (Adelges piceae)*","I/S",3,"Adelges piceae","Abies",17,"ABGR","GRAND FIR","Abies","grandis","abies","0017","ABGR","grand fir","Abies","grandis","ABIES GRANDIS"
"GRAVES OAK, CHISOS RED OAK","QUERCUS GRAVESII","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",8511,"QUGR2","GRAVES OAK, CHISOS RED OAK","","gravesii","","8511","QUGR2","Graves oak, Chisos red oak","","gravesii","QUERCUS GRAVESII"
"GRAY BIRCH","BETULA POPULIFOLIA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Betula",379,"BEPO","GRAY BIRCH","Betula","populifolia","betula","0379","BEPO","gray birch","Betula","populifolia","BETULA POPULIFOLIA"
"GRAY BIRCH","BETULA POPULIFOLIA","Birch leafminer (Fenusa pusilla)*","I/F",1,"Fenusa pusilla","Betula",379,"BEPO","GRAY BIRCH","Betula","populifolia","betula","0379","BEPO","gray birch","Betula","populifolia","BETULA POPULIFOLIA"
"GRAY BIRCH","BETULA POPULIFOLIA","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",379,"BEPO","GRAY BIRCH","Betula","populifolia","betula","0379","BEPO","gray birch","Betula","populifolia","BETULA POPULIFOLIA"
"GRAY BIRCH","BETULA POPULIFOLIA","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",379,"BEPO","GRAY BIRCH","Betula","populifolia","betula","0379","BEPO","gray birch","Betula","populifolia","BETULA POPULIFOLIA"
"GRAY BIRCH","BETULA POPULIFOLIA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",379,"BEPO","GRAY BIRCH","Betula","populifolia","betula","0379","BEPO","gray birch","Betula","populifolia","BETULA POPULIFOLIA"
"GRAY PINE, CALIFORNIA FOOTHILL PINE PINUS","PINUS SABINIANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",127,"PISA2","GRAY PINE, CALIFORNIA FOOTHILL PINE PINUS","","sabiniana","","0127","PISA2","gray pine, California foothill pine Pinus","","sabiniana","PINUS SABINIANA"
"GRAY PINE, CALIFORNIA FOOTHILL PINE PINUS","PINUS SABINIANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",127,"PISA2","GRAY PINE, CALIFORNIA FOOTHILL PINE PINUS","","sabiniana","","0127","PISA2","gray pine, California foothill pine Pinus","","sabiniana","PINUS SABINIANA"
"GREAT BASIN BRISTLECONE PINE","PINUS LONGAEVA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",142,"PILO","GREAT BASIN BRISTLECONE PINE","","longaeva","","0142","PILO","Great Basin bristlecone pine","","longaeva","PINUS LONGAEVA"
"GREAT BASIN BRISTLECONE PINE","PINUS LONGAEVA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",142,"PILO","GREAT BASIN BRISTLECONE PINE","","longaeva","","0142","PILO","Great Basin bristlecone pine","","longaeva","PINUS LONGAEVA"
"GREEN ASH","FRAXINUS PENNSYLVANICA","Emerald ash borer (Agrilus planipennis)*","I/B",10,"Agrilus planipennis","Fraxinus",544,"FRPE","GREEN ASH","","pennsylvanica","","0544","FRPE","green ash","","pennsylvanica","FRAXINUS PENNSYLVANICA"
"GREEN ASH","FRAXINUS PENNSYLVANICA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",544,"FRPE","GREEN ASH","","pennsylvanica","","0544","FRPE","green ash","","pennsylvanica","FRAXINUS PENNSYLVANICA"
"HONEYLOCUST","GLEDITSIA TRIACANTHOS","Mimosa webworm (Homadaula anisocentra)*","I/F",0,"Homadaula anisocentra","Gleditsia",552,"GLTR","HONEYLOCUST","","triacanthos","","0552","GLTR","honeylocust","","triacanthos","GLEDITSIA TRIACANTHOS"
"HONEYLOCUST","GLEDITSIA TRIACANTHOS","Calico scale (Eulecanium cerasorum)*","I/S",1,"Eulecanium cerasorum","Gleditsia",552,"GLTR","HONEYLOCUST","","triacanthos","","0552","GLTR","honeylocust","","triacanthos","GLEDITSIA TRIACANTHOS"
"INTERIOR LIVE OAK","QUERCUS WISLIZENI","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",839,"QUWI2","INTERIOR LIVE OAK","","wislizeni","","0839","QUWI2","interior live oak","","wislizeni","QUERCUS WISLIZENI"
"JACK PINE","PINUS BANKSIANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",105,"PIBA2","JACK PINE","","banksiana","","0105","PIBA2","jack pine","","banksiana","PINUS BANKSIANA"
"JACK PINE","PINUS BANKSIANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",105,"PIBA2","JACK PINE","","banksiana","","0105","PIBA2","jack pine","","banksiana","PINUS BANKSIANA"
"JEFFREY PINE","PINUS JEFFREYI","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",116,"PIJE","JEFFREY PINE","","jeffreyi","","0116","PIJE","Jeffrey pine","","jeffreyi","PINUS JEFFREYI"
"JEFFREY PINE","PINUS JEFFREYI","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",116,"PIJE","JEFFREY PINE","","jeffreyi","","0116","PIJE","Jeffrey pine","","jeffreyi","PINUS JEFFREYI"
"KNOBCONE PINE","PINUS ATTENUATA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",103,"PIAT","KNOBCONE PINE","","attenuata","","0103","PIAT","knobcone pine","","attenuata","PINUS ATTENUATA"
"KNOBCONE PINE","PINUS ATTENUATA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",103,"PIAT","KNOBCONE PINE","","attenuata","","0103","PIAT","knobcone pine","","attenuata","PINUS ATTENUATA"
"LACEY OAK","QUERCUS LACEYI","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",8514,"QULA","LACEY OAK","","laceyi","","8514","QULA","lacey oak","","laceyi","QUERCUS LACEYI"
"LAUREL OAK","QUERCUS LAURIFOLIA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",820,"QULA3","LAUREL OAK","Quercus","laurifolia","quercus","0820","QULA3","laurel oak","Quercus","laurifolia","QUERCUS LAURIFOLIA"
"LAUREL OAK","QUERCUS LAURIFOLIA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",820,"QULA3","LAUREL OAK","Quercus","laurifolia","quercus","0820","QULA3","laurel oak","Quercus","laurifolia","QUERCUS LAURIFOLIA"
"LIMBER PINE","PINUS FLEXILIS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",113,"PIFL2","LIMBER PINE","","flexilis","","0113","PIFL2","limber pine","","flexilis","PINUS FLEXILIS"
"LIMBER PINE","PINUS FLEXILIS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",113,"PIFL2","LIMBER PINE","","flexilis","","0113","PIFL2","limber pine","","flexilis","PINUS FLEXILIS"
"LIVE OAK","QUERCUS VIRGINIANA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",838,"QUVI","LIVE OAK","","virginiana","","0838","QUVI","live oak","","virginiana","QUERCUS VIRGINIANA"
"LIVE OAK","QUERCUS VIRGINIANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",838,"QUVI","LIVE OAK","","virginiana","","0838","QUVI","live oak","","virginiana","QUERCUS VIRGINIANA"
"LOBLOLLY PINE","PINUS TAEDA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",131,"PITA","LOBLOLLY PINE","","taeda","","0131","PITA","loblolly pine","","taeda","PINUS TAEDA"
"LOBLOLLY PINE","PINUS TAEDA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",131,"PITA","LOBLOLLY PINE","","taeda","","0131","PITA","loblolly pine","","taeda","PINUS TAEDA"
"LODGEPOLE PINE","PINUS CONTORTA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",108,"PICO","LODGEPOLE PINE","","contorta","","0108","PICO","lodgepole pine","","contorta","PINUS CONTORTA"
"LODGEPOLE PINE","PINUS CONTORTA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",108,"PICO","LODGEPOLE PINE","","contorta","","0108","PICO","lodgepole pine","","contorta","PINUS CONTORTA"
"LONGLEAF PINE","PINUS PALUSTRIS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",121,"PIPA2","LONGLEAF PINE","","palustris","","0121","PIPA2","longleaf pine","","palustris","PINUS PALUSTRIS"
"LONGLEAF PINE","PINUS PALUSTRIS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",121,"PIPA2","LONGLEAF PINE","","palustris","","0121","PIPA2","longleaf pine","","palustris","PINUS PALUSTRIS"
"MEXICAN BLUE OAK","QUERCUS OBLONGIFOLIA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",829,"QUOB","MEXICAN BLUE OAK","Quercus","oblongifolia","quercus","0829","QUOB","Mexican blue oak","Quercus","oblongifolia","QUERCUS OBLONGIFOLIA"
"MEXICAN PINYON PINE","PINUS CEMBROIDES","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",140,"PICE","MEXICAN PINYON PINE","","cembroides","","0140","PICE","Mexican pinyon pine","","cembroides","PINUS CEMBROIDES"
"MEXICAN PINYON PINE","PINUS CEMBROIDES","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",140,"PICE","MEXICAN PINYON PINE","","cembroides","","0140","PICE","Mexican pinyon pine","","cembroides","PINUS CEMBROIDES"
"MONTEREY PINE","PINUS RADIATA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",124,"PIRA2","MONTEREY PINE","","radiata","","0124","PIRA2","Monterey pine","","radiata","PINUS RADIATA"
"MONTEREY PINE","PINUS RADIATA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",124,"PIRA2","MONTEREY PINE","","radiata","","0124","PIRA2","Monterey pine","","radiata","PINUS RADIATA"
"MOUNTAIN HEMLOCK","TSUGA MERTENSIANA","Elongate hemlock scale (Fiorinia externa)*","I/S",0,"Fiorinia externa","Tsuga",264,"TSME","MOUNTAIN HEMLOCK","Tsuga","mertensiana","tsuga","0264","TSME","mountain hemlock","Tsuga","mertensiana","TSUGA MERTENSIANA"
"MOUNTAIN MAPLE","ACER ICATUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",319,"ACSP2","MOUNTAIN MAPLE","Acer","spicatum","acer","0319","ACSP2","mountain maple","Acer","spicatum","ACER ICATUM"
"MOUNTAIN MAPLE","ACER ICATUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",319,"ACSP2","MOUNTAIN MAPLE","Acer","spicatum","acer","0319","ACSP2","mountain maple","Acer","spicatum","ACER ICATUM"
"MOUNTAIN MAPLE","ACER ICATUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",319,"ACSP2","MOUNTAIN MAPLE","Acer","spicatum","acer","0319","ACSP2","mountain maple","Acer","spicatum","ACER ICATUM"
"NARROWLEAF COTTONWOOD","POPULUS ANGUSTIFOLIA","Poplar-and-willow borer (Cryptorhynchus lapathi)*","I/B",1,"Cryptorhynchus lapathi","Populus",749,"POAN3","NARROWLEAF COTTONWOOD","Populus","angustifolia","populus","0749","POAN3","narrowleaf cottonwood","Populus","angustifolia","POPULUS ANGUSTIFOLIA"
"NORTHERN MOUNTAIN ASH","SORBUS DECORA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Sorbus",937,"SODE3","NORTHERN MOUNTAIN ASH","Sorbus","decora","sorbus","0937","SODE3","northern mountain ash","Sorbus","decora","SORBUS DECORA"
"NORTHERN PIN OAK","QUERCUS ELLIPSOIDALIS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",809,"QUEL","NORTHERN PIN OAK","Quercus","ellipsoidalis","quercus","0809","QUEL","northern pin oak","Quercus","ellipsoidalis","QUERCUS ELLIPSOIDALIS"
"NORTHERN PIN OAK","QUERCUS ELLIPSOIDALIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",809,"QUEL","NORTHERN PIN OAK","Quercus","ellipsoidalis","quercus","0809","QUEL","northern pin oak","Quercus","ellipsoidalis","QUERCUS ELLIPSOIDALIS"
"NORTHERN RED OAK","QUERCUS RUBRA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",833,"QURU","NORTHERN RED OAK","Quercus","rubra","quercus","0833","QURU","northern red oak","Quercus","rubra","QUERCUS RUBRA"
"NORTHERN RED OAK","QUERCUS RUBRA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",833,"QURU","NORTHERN RED OAK","Quercus","rubra","quercus","0833","QURU","northern red oak","Quercus","rubra","QUERCUS RUBRA"
"NUTTALL OAK","QUERCUS BUCKLEYI","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",828,"QUBU2","NUTTALL OAK","Quercus","buckleyi","quercus","0828","QUBU2","Nuttall oak","Quercus","buckleyi","QUERCUS BUCKLEYI"
"NUTTALL OAK","QUERCUS BUCKLEYI","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",828,"QUBU2","NUTTALL OAK","Quercus","buckleyi","quercus","0828","QUBU2","Nuttall oak","Quercus","buckleyi","QUERCUS BUCKLEYI"
"OGLETHORPE OAK","QUERCUS OGLETHORPENSIS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",844,"QUOG","OGLETHORPE OAK","","oglethorpensis","","0844","QUOG","Oglethorpe oak","","oglethorpensis","QUERCUS OGLETHORPENSIS"
"OGLETHORPE OAK","QUERCUS OGLETHORPENSIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",844,"QUOG","OGLETHORPE OAK","","oglethorpensis","","0844","QUOG","Oglethorpe oak","","oglethorpensis","QUERCUS OGLETHORPENSIS"
"OHIO BUCKEYE","AESCULUS GLABRA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",331,"AEGL","OHIO BUCKEYE","Aesculus","glabra","aesculus","0331","AEGL","Ohio buckeye","Aesculus","glabra","AESCULUS GLABRA"
"OREGON ASH","FRAXINUS LATIFOLIA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",542,"FRLA","OREGON ASH","","latifolia","","0542","FRLA","Oregon ash","","latifolia","FRAXINUS LATIFOLIA"
"OREGON ASH","FRAXINUS LATIFOLIA","Emerald ash borer (Agrilus planipennis)*","I/B",8,"Agrilus planipennis","Fraxinus",542,"FRLA","OREGON ASH","","latifolia","","0542","FRLA","Oregon ash","","latifolia","FRAXINUS LATIFOLIA"
"OREGON WHITE OAK","QUERCUS GARRYANA","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",815,"QUGA4","OREGON WHITE OAK","Quercus","garryana","quercus","0815","QUGA4","Oregon white oak","Quercus","garryana","QUERCUS GARRYANA"
"OVERCUP OAK","QUERCUS LYRATA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",822,"QULY","OVERCUP OAK","Quercus","lyrata","quercus","0822","QULY","overcup oak","Quercus","lyrata","QUERCUS LYRATA"
"OVERCUP OAK","QUERCUS LYRATA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",822,"QULY","OVERCUP OAK","Quercus","lyrata","quercus","0822","QULY","overcup oak","Quercus","lyrata","QUERCUS LYRATA"
"OZARK CHINKAPIN","CASTANEA PUMILA VAR. OZARKENSIS","Asiatic oak weevil (Cyrtepistomus castaneus)*","I/F",1,"Cyrtepistomus castaneus","Castanea",423,"CAPUO","OZARK CHINKAPIN","Castanea","pumila var. ozarkensis","castanea","0423","CAPUO","Ozark chinkapin","Castanea","pumila var. ozarkensis","CASTANEA PUMILA VAR. OZARKENSIS"
"PACIFIC SILVER FIR","ABIES AMABILIS","Balsam woolly adelgid (Adelges piceae)*","I/S",3,"Adelges piceae","Abies",11,"ABAM","PACIFIC SILVER FIR","Abies","amabilis","abies","0011","ABAM","Pacific silver fir","Abies","amabilis","ABIES AMABILIS"
"PACIFIC YEW","TAXUS BREVIFOLIA","Black vine weevil (Otiorhynchus sulcatus)*","I/F",1,"Otiorhynchus sulcatus","Taxus",231,"TABR2","PACIFIC YEW","Taxus","brevifolia","taxus","0231","TABR2","Pacific yew","Taxus","brevifolia","TAXUS BREVIFOLIA"
"PAINTED BUCKEYE","AESCULUS SYLVATICA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",337,"AESY","PAINTED BUCKEYE","Aesculus","sylvatica","aesculus","0337","AESY","painted buckeye","Aesculus","sylvatica","AESCULUS SYLVATICA"
"PAPER BIRCH","BETULA PAPYRIFERA","Birch leafminer (Fenusa pusilla)*","I/F",3,"Fenusa pusilla","Betula",375,"BEPA","PAPER BIRCH","Betula","papyrifera","betula","0375","BEPA","paper birch","Betula","papyrifera","BETULA PAPYRIFERA"
"PAPER BIRCH","BETULA PAPYRIFERA","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",375,"BEPA","PAPER BIRCH","Betula","papyrifera","betula","0375","BEPA","paper birch","Betula","papyrifera","BETULA PAPYRIFERA"
"PAPER BIRCH","BETULA PAPYRIFERA","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",375,"BEPA","PAPER BIRCH","Betula","papyrifera","betula","0375","BEPA","paper birch","Betula","papyrifera","BETULA PAPYRIFERA"
