"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1277",0,1698,1698,2310,3304,2464,0,0,0
"1278",0,1699,1699,2311,3305,2465,0,0,0
"1279",0,1700,1700,2312,3306,2466,0,0,0
"1280",0,1701,1701,2313,3307,2467,0,0,0
"1281",0,1702,1702,2314,3308,2468,0,0,0
"1282",0,1703,1703,2315,3309,2469,0,0,0
"1283",0,1704,1704,2316,3310,2470,0,0,0
"1284",0,1705,1705,2317,3311,2471,0,0,0
"1285",0,1706,1706,2318,3312,2472,0,0,0
"1286",0,1707,1707,2319,3313,2473,0,0,0
"1287",0,1708,1708,2320,3314,2474,0,0,0
"1288",0,1709,1709,2321,3315,2475,0,0,0
"1289",0,1710,1710,2324,3316,2476,0,0,0
"1290",0,1711,1711,2325,3317,2477,0,0,0
"1291",0,1712,1712,2326,3318,2478,0,0,0
"1292",0,1713,1713,2327,3319,2479,0,0,0
"1293",0,1714,1714,2329,3320,2480,0,0,0
"1294",0,1718,1718,2331,3321,2484,0,0,0
"1295",0,1719,1719,2332,3322,2485,0,0,0
"1296",0,1720,1720,2335,3323,2493,0,0,0
"1297",0,1721,1721,2336,3324,2494,0,0,0
"1298",0,1724,1724,2337,3325,2502,0,0,0
"1299",0,1725,1725,2341,3326,2503,0,0,0
"1300",0,1726,1726,2342,3327,2504,0,0,0
"1301",0,1727,1727,2343,3328,2505,0,0,0
"1302",0,1728,1728,2344,3329,2506,0,0,0
"1303",0,1729,1729,2345,3330,2507,0,0,0
"1304",0,1730,1730,2346,3331,2513,0,0,0
"1305",0,1731,1731,2347,3332,2514,0,0,0
"1306",0,1732,1732,2348,3333,2515,0,0,0
"1307",0,1738,1738,2349,3334,2517,0,0,0
"1308",0,1740,1740,2350,3335,2518,0,0,0
"1309",0,1741,1741,2351,3336,2519,0,0,0
"1310",0,1742,1742,2363,3337,2521,0,0,0
"1311",0,1743,1743,2364,3338,2522,0,0,0
"1312",0,1744,1744,2365,3339,2523,0,0,0
"1313",0,1745,1745,2366,3340,2524,0,0,0
"1314",0,1746,1746,2367,3341,2525,0,0,0
"1315",0,1747,1747,2368,3342,2526,0,0,0
"1316",0,1748,1748,2369,3343,2527,0,0,0
"1317",0,1749,1749,2370,3344,2541,0,0,0
"1318",0,1750,1750,2371,3345,2542,0,0,0
"1319",0,1751,1751,2372,3346,2543,0,0,0
"1320",0,1752,1752,2374,3347,2544,0,0,0
"1321",0,1753,1753,2375,3348,2545,0,0,0
"1322",0,1754,1754,2376,3349,2546,0,0,0
"1323",0,1755,1755,2377,3350,2547,0,0,0
"1324",0,1756,1756,2378,3351,2548,0,0,0
"1325",0,1757,1757,2379,3352,2549,0,0,0
"1326",0,1758,1758,2380,3353,2550,0,0,0
"1327",0,1759,1759,2381,3354,2551,0,0,0
"1328",0,1760,1760,2382,3355,2552,0,0,0
"1329",0,1761,1761,2383,3356,2553,0,0,0
"1330",0,1764,1764,2384,3357,2554,0,0,0
"1331",0,1767,1767,2385,3358,2555,0,0,0
"1332",0,1768,1768,2386,3359,2556,0,0,0
"1333",0,1769,1769,2387,3360,2557,0,0,0
"1334",0,1770,1770,2388,3361,2558,0,0,0
"1335",0,1772,1772,2389,3362,2559,0,0,0
"1336",0,1773,1773,2392,3363,2560,0,0,0
"1337",0,1774,1774,2393,3364,2561,0,0,0
"1338",0,1775,1775,2396,3365,2562,0,0,0
"1339",0,1776,1776,2397,3366,2563,0,0,0
"1340",0,1777,1777,2398,3367,2566,0,0,0
"1341",0,1778,1778,2399,3368,2567,0,0,0
"1342",0,1779,1779,2400,3369,2568,0,0,0
"1343",0,1780,1780,2401,3370,2569,0,0,0
"1344",0,1781,1781,2402,3371,2570,0,0,0
"1345",0,1782,1782,2403,3372,2571,0,0,0
"1346",0,1783,1783,2404,0,2572,0,0,0
"1347",0,1784,1784,2405,0,2573,0,0,0
"1348",0,1785,1785,2406,0,2574,0,0,0
"1349",0,1786,1786,2407,0,2575,0,0,0
"1350",0,1787,1787,2408,0,2576,0,0,0
"1351",0,1788,1788,2409,0,2577,0,0,0
"1352",0,1789,1789,2410,0,2578,0,0,0
"1353",0,1790,1790,2411,0,2579,0,0,0
"1354",0,1791,1791,2412,0,2584,0,0,0
"1355",0,1792,1792,2413,0,2592,0,0,0
"1356",0,1793,1793,2414,0,2607,0,0,0
"1357",0,1794,1794,2415,0,2609,0,0,0
"1358",0,1795,1795,2416,0,2610,0,0,0
"1359",0,1796,1796,2419,0,2611,0,0,0
"1360",0,1797,1797,2420,0,2614,0,0,0
"1361",0,1798,1798,2421,0,2615,0,0,0
"1362",0,1799,1799,2422,0,2616,0,0,0
"1363",0,1800,1800,2423,0,2617,0,0,0
"1364",0,1801,1801,2424,0,2618,0,0,0
"1365",0,1802,1802,2425,0,2619,0,0,0
"1366",0,1803,1803,2427,0,2620,0,0,0
"1367",0,1804,1804,2428,0,2621,0,0,0
"1368",0,1805,1805,2430,0,2623,0,0,0
"1369",0,1806,1806,2431,0,2624,0,0,0
"1370",0,1807,1807,2432,0,2625,0,0,0
"1371",0,1808,1808,2433,0,2626,0,0,0
"1372",0,1809,1809,2434,0,2627,0,0,0
"1373",0,1810,1810,2435,0,2628,0,0,0
"1374",0,1811,1811,2436,0,2630,0,0,0
"1375",0,1812,1812,2437,0,2631,0,0,0
"1376",0,1813,1813,2438,0,2632,0,0,0
"1377",0,1815,1815,2439,0,2633,0,0,0
"1378",0,1816,1816,2440,0,2634,0,0,0
"1379",0,1817,1817,2441,0,2637,0,0,0
"1380",0,1818,1818,2442,0,2638,0,0,0
"1381",0,1819,1819,2443,0,2640,0,0,0
"1382",0,1820,1820,2444,0,2641,0,0,0
"1383",0,1821,1821,2445,0,2643,0,0,0
"1384",0,1822,1822,2446,0,2644,0,0,0
"1385",0,1823,1823,2449,0,2645,0,0,0
"1386",0,1825,1825,2450,0,2646,0,0,0
"1387",0,1826,1826,2451,0,2651,0,0,0
"1388",0,1830,1830,2452,0,2652,0,0,0
"1389",0,1831,1831,2453,0,2653,0,0,0
"1390",0,1833,1833,2454,0,2654,0,0,0
"1391",0,1834,1834,2455,0,2655,0,0,0
"1392",0,1835,1835,2456,0,2656,0,0,0
"1393",0,1836,1836,2457,0,2658,0,0,0
"1394",0,1839,1839,2458,0,2661,0,0,0
"1395",0,1840,1840,2459,0,2662,0,0,0
"1396",0,1841,1841,2460,0,2663,0,0,0
"1397",0,1842,1842,2463,0,2664,0,0,0
"1398",0,1847,1847,2464,0,2665,0,0,0
"1399",0,1848,1848,2465,0,2666,0,0,0
"1400",0,1849,1849,2466,0,2667,0,0,0
"1401",0,1850,1850,2467,0,2669,0,0,0
"1402",0,1851,1851,2468,0,2670,0,0,0
"1403",0,1852,1852,2469,0,2684,0,0,0
