genus,pest,genus.1,severity,clean_pest,genus2
Crataegus brainerdii,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus calpodendron,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus calpodendron,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus chrysocarpa,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus chrysocarpa,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus crus-galli,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus crus-galli,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Crataegus
Crataegus crus-galli,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus dilatata,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus dilatata,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus flabellata,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus flabellata,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus mollis,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus mollis,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Crataegus
Crataegus mollis,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Crataegus pedicellata,Cherry bark tortrix (Enarmonia formosana)*,I/B,3,Enarmonia formosana,Crataegus
Crataegus pedicellata,Winter moth (Operophtera brumata)*,I/F,1,Operophtera brumata,Crataegus
Fraxinus americana,Emerald ash borer (Agrilus planipennis)*,I/B,10,Agrilus planipennis,Fraxinus
Fraxinus americana,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus berlandieriana,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus berlandieriana,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus caroliniana,Emerald ash borer (Agrilus planipennis)*,I/B,10,Agrilus planipennis,Fraxinus
Fraxinus caroliniana,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
