genus,pest,genus.1,severity,clean_pest,genus2
Populus grandidentata,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus heterophylla,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus tremuloides,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula alleghaniensis,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Betula occidentalis,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus brainerdii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus calpodendron,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus chrysocarpa,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus dilatata,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus flabellata,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Crataegus pedicellata,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Larix lyallii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Larix occidentalis,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus angustifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus balsamifera ssp. trichocarpa,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus deltoides,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus deltoides ssp. monilifera,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus fremontii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Populus tremuloides,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus agrifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus chrysolepis,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus douglasii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus emoryi,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus engelmannii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus gambelii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus garryana,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus gravesii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus hypoleucoides,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus kelloggii,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus laceyi,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus lobata,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus tomentella,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus wislizeni,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Quercus oblongifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,0,Lymantria dispar,Amelanchier
Betula alleghaniensis,Birch leafminer (Fenusa pusilla)*,I/F,0,Fenusa pusilla,Betula
Betula lenta,Birch leafminer (Fenusa pusilla)*,I/F,0,Fenusa pusilla,Betula
Betula occidentalis,Birch leafminer (Fenusa pusilla)*,I/F,0,Fenusa pusilla,Betula
Betula uber,Birch leafminer (Fenusa pusilla)*,I/F,0,Fenusa pusilla,Betula
Juniperus flaccida,Juniper scale (Carulaspis juniperi)*,I/S,0,Carulaspis juniperi,Chamaecyparis
Juniperus monosperma,Juniper scale (Carulaspis juniperi)*,I/S,0,Carulaspis juniperi,Chamaecyparis
Gleditsia triacanthos,Mimosa webworm (Homadaula anisocentra)*,I/F,0,Homadaula anisocentra,Gleditsia
Larix lyallii,Larch casebearer (Coleophora laricella)*,I/F,0,Coleophora laricella,Larix
Pinus albicaulis,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus aristata,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus attenuata,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus balfouriana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus banksiana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus cembroides,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus clausa,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus contorta,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus coulteri,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus discolor,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus echinata,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus edulis,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus elliottii,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus engelmannii,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus flexilis,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus glabra,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus jeffreyi,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus lambertiana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus leiophylla,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus longaeva,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus monophylla,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus monophylla var. fallax,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus monticola,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus muricata,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus palustris,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus ponderosa,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus ponderosa var. washoensis,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus quadrifolia,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus radiata,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus remota,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus resinosa,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus rigida,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus sabiniana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus serotina,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus strobiformis,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus strobus,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus taeda,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus torreyana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus virginiana,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus arizonica,European pine sawfly (Neodiprion sertifer)*,I/F,0,Neodiprion sertifer,Pinus
Pinus albicaulis,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus aristata,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus attenuata,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus balfouriana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus banksiana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus cembroides,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus clausa,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus contorta,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus coulteri,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus discolor,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus echinata,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus edulis,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus elliottii,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus engelmannii,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus flexilis,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus glabra,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus jeffreyi,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus lambertiana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus leiophylla,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus longaeva,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus monophylla,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus monophylla var. fallax,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus monticola,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus muricata,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus palustris,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus ponderosa,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus ponderosa var. washoensis,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus pungens,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus quadrifolia,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus radiata,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus remota,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus rigida,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus sabiniana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus serotina,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus strobiformis,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus strobus,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus taeda,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus torreyana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus virginiana,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus arizonica,Red pine scale (Matsucoccus resinosae)*,I/S,0,Matsucoccus matsumurae,Pinus
Pinus albicaulis,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus aristata,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus attenuata,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus balfouriana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus banksiana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus cembroides,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus clausa,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus contorta,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus coulteri,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus discolor,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus echinata,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus edulis,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus elliottii,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus engelmannii,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus flexilis,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus glabra,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus jeffreyi,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus lambertiana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus leiophylla,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus longaeva,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus monophylla,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus monophylla var. fallax,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus monticola,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus muricata,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus palustris,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus ponderosa,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus ponderosa var. washoensis,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus pungens,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus quadrifolia,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus radiata,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus remota,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus resinosa,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus rigida,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus sabiniana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus serotina,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus strobiformis,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus taeda,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus torreyana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus virginiana,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Pinus arizonica,Pine shoot beetle (Tomicus piniperda)*,I/B,0,Tomicus piniperda,Pinus
Populus balsamifera,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus deltoides,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus deltoides ssp. monilifera,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus fremontii,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus grandidentata,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus heterophylla,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Populus tremuloides,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,0,Cryptorhynchus lapathi,Populus
Quercus acerifolia,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus alba,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus arkansana,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus bicolor,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus boyntonii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus buckleyi,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus coccinea,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus ellipsoidalis,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus emoryi,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus falcata,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus gambelii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus georgiana,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus gravesii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus hypoleucoides,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus ilicifolia,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus imbricaria,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus incana,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus laceyi,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus laevis,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus laurifolia,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus lyrata,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus macrocarpa,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus margaretta,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus marilandica,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus michauxii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus minima,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus muehlenbergii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus myrtifolia,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus nigra,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus oglethorpensis,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus pagoda,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus palustris,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus phellos,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus prinoides,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus prinus,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus rubra,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus shumardii,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus similis,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus sinuata,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus stellata,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus texana,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus velutina,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus virginiana,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Quercus oblongifolia,Oak pit scale (Asterolecanium spp.)*,I/S,0,Asterolecanium variolosum,Quercus
Tsuga heterophylla,Hemlock woolly adelgid (Adelges tsugae)*,I/S,0,Adelges tsugae,Tsuga
Tsuga mertensiana,Hemlock woolly adelgid (Adelges tsugae)*,I/S,0,Adelges tsugae,Tsuga
Tsuga heterophylla,Elongate hemlock scale (Fiorinia externa)*,I/S,0,Fiorinia externa,Tsuga
Tsuga mertensiana,Elongate hemlock scale (Fiorinia externa)*,I/S,0,Fiorinia externa,Tsuga
Ulmus alata,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,0,Scolytus schevyrewi,Ulmus
Ulmus crassifolia,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,0,Scolytus schevyrewi,Ulmus
Ulmus rubra,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,0,Scolytus schevyrewi,Ulmus
Ulmus serotina,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,0,Scolytus schevyrewi,Ulmus
Salix alaxensis,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix arbusculoides,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix bonplandiana,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix laevigata,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix lasiolepis,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix lucida ssp. Lasiandra,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix scouleriana,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
Salix taxifolia,Gypsy Moth (Lymantria dispar dispar),I/F,0,Lymantria dispar,Salix
