"","SB_pres","RPBB_pres","MPEB_pres","BEBB_pres","CBT_pres","EFW_pres","LW_pres","EP_pres","PHM_pres"
"918",-0.103848,-0.103573135,-0.103573135,-0.095340332,-0.103435805,-0.095340332,-0.103848,-0.103848,-0.101379639
"919",-0.103848,-0.103848,-0.103848,-0.09740131,-0.102409355,-0.09740131,-0.103848,-0.103848,-0.103413953
"920",-0.103848,0.112295053,0.112295053,-0.088142606,-0.083393255,-0.088142606,-0.103848,-0.103848,-0.103848
"921",-0.103848,0.219857739,0.219857739,-0.084879395,-0.0874783,-0.084879395,-0.103848,-0.103848,-0.103382088
"922",-0.103848,0.245341365,0.245341365,-0.103848,-0.077878445,-0.103848,-0.103848,-0.103848,-0.103848
"923",-0.103848,-0.037051476,-0.037051476,-0.103848,-0.081269248,-0.103848,-0.103848,-0.103848,-0.10034761
"924",-0.103848,0.708447811,0.708447811,-0.103848,-0.082223717,-0.103848,-0.103848,-0.103848,-0.103848
"925",-0.103848,0.880672317,0.880672317,-0.103079312,-0.103848,-0.103079312,-0.103848,-0.103848,-0.103848
"926",-0.103848,0.087203925,0.087203925,-0.102466615,-0.103848,-0.102466615,-0.103848,-0.103848,-0.103848
"927",-0.103848,0.431851379,0.431851379,-0.103228425,-0.103848,-0.103228425,-0.103848,-0.103848,-0.103848
"928",-0.103471785,-0.043368305,-0.043368305,-0.101573248,-0.099556608,-0.101573248,-0.103848,-0.103848,-0.098773624
"929",-0.103848,0.314311006,0.314311006,-0.101643607,-0.103848,-0.101643607,-0.103848,-0.103848,-0.103848
"930",-0.103848,-0.103848,-0.103848,-0.098791468,-0.102223651,-0.098791468,-0.103848,-0.103848,-0.097120604
"931",-0.103848,-0.103848,-0.103848,-0.100450459,-0.091962865,-0.100450459,-0.103848,-0.103848,-0.099704695
"932",-0.103848,-0.054268961,-0.054268961,-0.083746554,0.038563952,-0.083746554,-0.103848,-0.103848,-0.103848
"933",-0.103848,0.397240786,0.397240786,-0.100212091,-0.103848,-0.100212091,-0.103848,-0.103848,-0.103848
"934",-0.103848,0.335202484,0.335202484,-0.100237352,-0.103848,-0.100237352,-0.103848,-0.103848,-0.103848
"935",-0.103848,0.310988176,0.310988176,-0.103828457,-0.103848,-0.103828457,-0.103848,-0.103848,-0.103848
"936",-0.103848,0.09603349,0.09603349,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.100648634
"937",-0.103848,-0.080452373,-0.080452373,-0.103848,-0.103848,-0.103848,-0.103235764,-0.103848,-0.099993964
"938",-0.103848,-0.097058495,-0.097058495,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.100315675
"939",-0.103848,-0.077189466,-0.077189466,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"940",-0.103848,-0.084148291,-0.084148291,-0.103848,-0.103848,-0.103848,-0.103359754,-0.103848,-0.103191099
"941",-0.103848,-0.094648391,-0.094648391,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"942",-0.103848,-0.091952277,-0.091952277,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"943",-0.103848,0.21665095,0.21665095,-0.103661769,-0.103848,-0.103661769,-0.103848,-0.103848,-0.103848
"944",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.096580634
"945",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.084523081
"946",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.102161333
"947",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103394102
"948",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103390185
"949",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.102763918,-0.103848,-0.097294414
