"EAB_pres","PTB_pres","ALB_pres","JCLB_pres","PWB_pres","EBB_pres","ELB_pres","SEEBB_pres","SWW_pres","PSB_pres","PFW_pres","LC_pres","EPNM_pres","AOW_pres","IPS_pres","ESN_pres","BM_pres","BL_pres","ELM_pres","MW_pres","SM_pres","EPS_pres","WM_pres","BVW_pres","IWLB_pres","JB_pres","LS_pres","MAS_pres","ABL_pres","EPSM_pres","PS_pres","EL_pres","OW_pres","WPBR_pres","CB_pres","CDC_pres","DWA_pres","SC_pres","ELC_pres","EPLR_pres","DED_pres","PRR_pres","POCRD_pres","SOD_pres","BC_pres","WS_pres","ESGA_pres","BWA_pres","HWA_pres","CRS_pres","GM_pres","GOS_pres","JS_pres","BBD_pres","SJS_pres","GSA_pres","CS_pres","EHS_pres","RLP_pres","OS_pres","RPS_pres","CHS_pres","PT_pres","IBT_pres"
-0.016691285,-0.101216584,0.0671781,-0.103848,-0.097501272,-0.046717511,-0.103848,-0.086983055,-0.020737228,-0.020737228,-0.020737228,-0.100229337,-0.046717511,-0.03587961,-0.08831433,-0.059508776,-0.100117145,-0.019551233,-0.096217471,-0.103848,0.047055027,-0.020737228,0.479765699,-0.103848,0.052827142,0.080864255,-0.100229337,-0.103848,-0.019551233,-0.046717511,0.052252469,-0.096217471,0.05168692,-0.08831433,-0.103848,-0.103467623,-0.103848,-0.036270898,-0.100229337,-0.097695509,-0.097387235,-0.031183883,-0.103848,-0.100455108,-0.103642622,-0.103653805,-0.059508776,-0.085990401,-0.103848,-0.103848,0.290972007,-0.098477119,-0.103848,-0.103848,0.237961978,-0.059508776,-0.024732807,-0.059508776,-0.103848,0.31867191,-0.062064585,-0.103848,-0.063400736,-0.10248577
-0.047915444,-0.100815435,-0.058154,-0.103848,-0.103848,-0.052555129,-0.103848,-0.085148716,-0.052555129,-0.052555129,-0.052555129,-0.103848,-0.052555129,-0.082385912,-0.103848,-0.103848,-0.10327907,-0.102122079,-0.101808278,-0.103848,-0.082317796,-0.052555129,0.143869291,-0.103848,-0.082317796,-0.039737262,-0.103848,-0.103848,-0.102122079,-0.052555129,-0.082317796,-0.101808278,0.003434035,-0.103848,-0.103848,-0.103848,-0.103848,-0.052555129,-0.103848,-0.103848,-0.100777972,-0.052555129,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.029131184,-0.103848,-0.103848,-0.103848,-0.018466046,-0.103848,-0.06551896,-0.103848,-0.103848,0.0359705,-0.072103834,-0.103848,-0.085809442,-0.102093001
-0.014595928,-0.100943792,0.005813328,-0.103848,-0.096159741,-0.029045679,-0.103848,-0.088976471,0.019945203,0.019945203,0.019945203,-0.088951284,-0.029045679,-0.05644276,-0.073830031,-0.052482415,-0.102529931,-0.062289331,-0.099075291,-0.103848,0.029275233,0.019945203,0.392780444,-0.103848,0.036913885,0.019077325,-0.088951284,-0.103848,-0.062289331,-0.029045679,0.036864278,-0.099075291,0.040442808,-0.073830031,-0.103848,-0.103848,-0.103848,-0.010072766,-0.088951284,-0.096209348,-0.100518544,0.00097229,-0.103848,-0.103121174,-0.103848,-0.103798393,-0.052482415,-0.075941033,-0.103848,-0.103848,0.224106284,-0.097221419,-0.103848,-0.103848,0.160093462,-0.052482415,-0.042496504,-0.052482415,-0.103848,0.245888436,-0.047831028,-0.103848,-0.07816609,-0.102167284
-0.053804133,-0.102993959,-0.058295293,-0.103848,-0.103848,-0.103848,-0.103848,-0.076920129,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.091389518,-0.103848,-0.103848,-0.103848,-0.103848,-0.100544257,-0.103848,-0.103848,-0.103848,0.083998137,-0.103848,-0.103848,-0.038199322,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.100544257,-0.031694409,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.098875468,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.030891864,-0.103848,-0.103848,-0.103848,-0.037696688,-0.103848,-0.065981234,-0.103848,-0.103848,0.011844545,-0.103848,-0.103848,-0.091389518,-0.103848
-0.004810078,-0.102631979,0.112165227,-0.103848,-0.085333668,-0.042006039,-0.103848,-0.080597993,0.075970414,0.075970414,0.075970414,-0.067974758,-0.042006039,-0.023197288,-0.031560804,0.019847046,-0.103736279,-0.007749615,-0.098625038,-0.103848,0.16707712,0.075970414,0.622243653,-0.103848,0.185471993,0.127276309,-0.067974758,-0.103848,-0.007749615,-0.042006039,0.185352533,-0.098625038,0.002828172,-0.031560804,-0.103848,-0.103848,-0.103848,0.003683218,-0.067974758,-0.085453128,-0.102334547,0.030281157,-0.103848,-0.103848,-0.103848,-0.10372854,0.019847046,-0.036644374,-0.103848,-0.103848,0.385751286,-0.103848,-0.103848,-0.103848,0.417278601,0.019847046,0.006678525,0.019847046,-0.103848,0.511968211,-0.042160321,-0.103848,-0.06586426,-0.103848
-0.004428,-0.101493,0.002875,-0.103848,-0.103848,-0.103848,-0.103848,-0.06027,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.069494,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,-0.103848,-0.103848,-0.103848,0.328715,-0.103848,-0.103848,0.030333,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,0.095114,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.101922,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.097327,-0.103848,-0.103848,-0.103848,0.031719,-0.103848,-0.0156,-0.103848,-0.103848,0.129753,-0.103848,-0.103848,-0.069494,-0.103848
-0.004428,-0.101493,0.002875,-0.103848,-0.103848,-0.103848,-0.103848,-0.06027,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.069494,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,-0.103848,-0.103848,-0.103848,0.328715,-0.103848,-0.103848,0.030333,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,0.095114,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.101922,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.097327,-0.103848,-0.103848,-0.103848,0.031719,-0.103848,-0.0156,-0.103848,-0.103848,0.129753,-0.103848,-0.103848,-0.069494,-0.103848
-0.004428,-0.101493,0.002875,-0.103848,-0.103848,-0.103848,-0.103848,-0.06027,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.069494,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,-0.103848,-0.103848,-0.103848,0.328715,-0.103848,-0.103848,0.030333,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.094738,0.095114,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.101922,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.097327,-0.103848,-0.103848,-0.103848,0.031719,-0.103848,-0.0156,-0.103848,-0.103848,0.129753,-0.103848,-0.103848,-0.069494,-0.103848
4.446841906,-0.103848,-0.103848,-0.103848,0.395144777,-0.103848,-0.103848,-0.103848,2.376959635,2.376959635,0.341807988,-0.103848,-0.103848,-0.103848,-0.103848,4.923043985,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,19.61890109,23.46829982,0.395144777,9.713626347,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.341807988,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,1.931303648,-0.103848,0.734206815,-0.103848,0.122818233,-0.103848,-0.103848,0.06745199,3.413493246,-0.103848,-0.103848,0.395144777,-0.103848,-0.103848,-0.103848,10.2126195,4.923043985,9.713626347,4.923043985,-0.103848,14.26431663,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,2.796443107,-0.103848,-0.103848,-0.103848,1.842695567,1.842695567,0.158553066,-0.103848,-0.103848,-0.103848,-0.103848,3.914284436,-0.103848,1.660176816,-0.103848,-0.103848,-0.103848,-0.103848,13.39669946,14.12845004,2.796443107,6.478276174,-0.103848,-0.103848,1.660176816,-0.103848,-0.103848,-0.103848,-0.103848,0.158553066,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,1.580294501,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,5.932440309,-0.103848,-0.103848,4.560467924,-0.103848,-0.103848,-0.103848,9.378567282,3.914284436,4.714251358,3.914284436,-0.103848,6.478276174,-0.103848,-0.103848,-0.103848,-0.103848
