Code,Species,,
FIA_0602,Juglans,nigra,
FIA_0611,Liquidambar,styraciflua,
FIA_0621,Liriodendron,tulipifera,
FIA_0631,Lithocarpus,densiflorus,
FIA_0641,Maclura,pomifera,
FIA_0650,Magnolia,,
FIA_0651,Magnolia,acuminata,
FIA_0652,Magnolia,grandiflora,
FIA_0653,Magnolia,virginiana,
FIA_0654,Magnolia,macrophylla,
FIA_0655,Magnolia,fraseri,
FIA_0660,Malus,,
FIA_0680,Morus,,
FIA_0681,Morus,alba,
FIA_0682,Morus,rubra,
FIA_0691,Nyssa,aquatica,
FIA_0692,Nyssa,ogeche,
FIA_0693,Nyssa,sylvatica,
FIA_0694,Nyssa,biflora,
FIA_0701,Ostrya,virginiana,
FIA_0711,Oxydendrum,arboreum,
FIA_0712,Paulownia,tomentosa,
FIA_0721,Persea,borbonia,
FIA_0722,Planera,aquatica,
FIA_0730,Platanus,,
FIA_0729,Platanus,racemosa,
FIA_0740,Populus,,
FIA_0741,Populus,balsamifera,
FIA_0742,Populus,deltoides,
FIA_0743,Populus,grandidentata,
FIA_0744,Populus,heterophylla,
FIA_0745,Populus,deltoides,
FIA_0746,Populus,tremuloides,
FIA_0747,Populus,balsamifera,
FIA_0748,Populus,fremontii,
FIA_074x,Populus,,
FIA_0749,Populus,angustifolia,
FIA_0752,Populus,alba,
FIA_0755,Prosopis,,
FIA_0756,Prosopis,glandulosa,
FIA_0757,Prosopis,velutina,
FIA_0758,Prosopis,pubescens,
FIA_0760,Prunus,,
FIA_0761,Prunus,pensylvanica,
FIA_0762,Prunus,serotina,
FIA_0763,Prunus,virginiana,
FIA_0766,Prunus,americana,
FIA_0800,Quercus,,
FIA_0801,Quercus,agrifolia,
FIA_0802,Quercus,alba,
FIA_0803,Quercus,arizonica,
FIA_0804,Quercus,bicolor,
FIA_0805,Quercus,chrysolepis,
FIA_0806,Quercus,coccinea,
FIA_0807,Quercus,douglasii,
FIA_0808,Quercus,sinuata,sinuata
FIA_0809,Quercus,ellipsoidalis,
FIA_0810,Quercus,emoryi,
FIA_0811,Quercus,engelmannii,
FIA_0812,Quercus,falcata,
FIA_0813,Quercus,pagoda,
FIA_0814,Quercus,gambelii,
FIA_0815,Quercus,garryana,
FIA_0816,Quercus,ilicifolia,
FIA_0817,Quercus,imbricaria,
FIA_0818,Quercus,kelloggii,
FIA_0819,Quercus,laevis,
FIA_0820,Quercus,laurifolia,
FIA_0821,Quercus,lobata,
FIA_0822,Quercus,lyrata,
FIA_0823,Quercus,macrocarpa,
FIA_0824,Quercus,marilandica,
FIA_0825,Quercus,michauxii,
FIA_0826,Quercus,muehlenbergii,
FIA_0827,Quercus,nigra,
FIA_0828,Quercus,texana,
FIA_0829,Quercus,oblongifolia,
FIA_0830,Quercus,palustris,
FIA_0831,Quercus,phellos,
FIA_0832,Quercus,prinus,
FIA_0833,Quercus,rubra,
FIA_0834,Quercus,shumardii,
FIA_0835,Quercus,stellata,
FIA_0836,Quercus,similis,
FIA_0837,Quercus,velutina,
FIA_0838,Quercus,virginiana,
FIA_0839,Quercus,wislizeni,
FIA_0840,Quercus,margarettiae,
FIA_0841,Quercus,minima,
FIA_0842,Quercus,incana,
FIA_0843,Quercus,hypoleucoides,
FIA_0844,Quercus,oglethorpensis,
FIA_0850,Quercus,,
FIA_0901,Robinia,pseudoacacia,
FIA_0902,Robinia,neomexicana,
FIA_0919,Sapindus,saponaria,drummondii
FIA_0920,Salix,,
FIA_0921,Salix,amygdaloides,
FIA_0922,Salix,nigra,
FIA_0927,Salix,alba,
FIA_0931,Sassafras,albidum,
FIA_0935,Sorbus,americana,
FIA_0950,Tilia,,
FIA_0951,Tilia,americana,
FIA_0952,Tilia,americana,heterophylla
FIA_0953,Tilia,americana,caroliniana
FIA_0970,Ulmus,,
FIA_0971,Ulmus,alata,
FIA_0972,Ulmus,americana,
FIA_0973,Ulmus,crassifolia,
FIA_0974,Ulmus,pumila,
FIA_0975,Ulmus,rubra,
FIA_0976,Ulmus,serotina,
FIA_0977,Ulmus,thomasii,
FIA_0981,Umbellularia,californica,
FIA_0989,Rhizophora,mangle,
FIA_0992,Melaleuca,quinquenervia,
FIA_0993,Melia,azedarach,
FIA_0994,Triadica,sebifera,
FIA_0995,Vernicia,fordii,
FIA_0996,Cotinus,obovatus,
FIA_0997,Elaeagnus,angustifolia,
