1800,1805,1810,1815,1820,1825,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.298856699,-0.292148021,-0.285439343,-0.281182667,-0.276925992,-0.278571269,-0.280216547,-0.276496478,-0.272776409,-0.274633721,-0.276491034,-0.277950296,-0.279409558,-0.279506146,-0.279602733,-0.277649381,-0.275696028,-0.276495294,-0.277294561,-0.276217537,-0.275140514,-0.274534258,-0.273928003
-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.323824283,-0.31888149,-0.313938696,-0.308964786,-0.303990877,-0.304535994,-0.305081111,-0.30171678,-0.298352448,-0.299084962,-0.299817476,-0.300121953,-0.300426429,-0.299898873,-0.299371317,-0.297752489,-0.296133661,-0.295314499,-0.294495337,-0.293231366,-0.291967395,-0.291082913,-0.29019843
-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.309569267,-0.305301507,-0.301033746,-0.296918728,-0.292803711,-0.294507795,-0.296211879,-0.292672442,-0.289133004,-0.290738825,-0.292344647,-0.294399729,-0.296454812,-0.296183142,-0.295911473,-0.294190593,-0.292469714,-0.291143076,-0.289816438,-0.287829809,-0.28584318,-0.285006602,-0.284170024
-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.327731251,-0.324238587,-0.320388562,-0.316538536,-0.313959557,-0.311380578,-0.30886518,-0.306349783,-0.306914158,-0.307478533,-0.307136643,-0.306794753,-0.307541919,-0.308289084,-0.308171133,-0.308053183,-0.308574692,-0.309096201,-0.309909961,-0.31072372,-0.311442048,-0.312160377
-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.320415988,-0.317059566,-0.313703145,-0.31218333,-0.310663516,-0.307951442,-0.305239369,-0.301945515,-0.298651661,-0.299901831,-0.301152001,-0.303471523,-0.305791045,-0.306487987,-0.30718493,-0.306580713,-0.305976496,-0.303840867,-0.301705238,-0.300346906,-0.298988574,-0.299621382,-0.300254189
-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.324948083,-0.318672252,-0.316007199,-0.313342145,-0.314868454,-0.316394763,-0.317368906,-0.318343048,-0.318817405,-0.319291762,-0.319625454,-0.319959145,-0.319492273,-0.3190254,-0.318358016,-0.317690632,-0.318329585,-0.318968537
-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.324948083,-0.318672252,-0.316007199,-0.313342145,-0.314868454,-0.316394763,-0.317368906,-0.318343048,-0.318817405,-0.319291762,-0.319625454,-0.319959145,-0.319492273,-0.3190254,-0.318358016,-0.317690632,-0.318329585,-0.318968537
-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.331223914,-0.324948083,-0.318672252,-0.316007199,-0.313342145,-0.314868454,-0.316394763,-0.317368906,-0.318343048,-0.318817405,-0.319291762,-0.319625454,-0.319959145,-0.319492273,-0.3190254,-0.318358016,-0.317690632,-0.318329585,-0.318968537
-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.319234926,-0.313971774,-0.308708622,-0.309790626,-0.31087263,-0.313129197,-0.315385765,-0.312157667,-0.308929569,-0.305778535,-0.302627502,-0.294689873,-0.286752244,-0.288993487,-0.291234729,-0.288032076,-0.284829423,-0.282659527,-0.280489631,-0.272425167,-0.264360704,-0.261264237,-0.258167771
-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.280437011,-0.249698341,-0.21895967,-0.220117866,-0.221276061,-0.220669433,-0.220062804,-0.215622659,-0.211182514,-0.194607949,-0.178033384,-0.161278857,-0.14452433,-0.142394806,-0.140265281,-0.119826031,-0.099386781,-0.093011651,-0.086636521,-0.066235639,-0.045834758,-0.033772311,-0.021709865
-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.321589272,-0.3166129,-0.311636528,-0.311381606,-0.311126684,-0.312348611,-0.313570538,-0.31061977,-0.307669002,-0.304824518,-0.301980034,-0.297860208,-0.293740383,-0.294465874,-0.295191365,-0.291698126,-0.288204887,-0.285854703,-0.28350452,-0.277083259,-0.270661999,-0.268413326,-0.266164654
-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.310916731,-0.303206762,-0.295496794,-0.297652085,-0.299807376,-0.302496779,-0.305186182,-0.304954396,-0.30472261,-0.305356618,-0.305990626,-0.306348241,-0.306705857,-0.30747862,-0.308251382,-0.303092851,-0.29793432,-0.297292555,-0.29665079,-0.292375907,-0.288101024,-0.287368926,-0.286636827
-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.324705678,-0.321734,-0.318762322,-0.317159517,-0.315556711,-0.315354585,-0.315152459,-0.312885285,-0.310618112,-0.309216169,-0.307814226,-0.309159168,-0.310504111,-0.310464324,-0.310424538,-0.307983915,-0.305543292,-0.304417781,-0.30329227,-0.300763324,-0.298234378,-0.298163214,-0.29809205
