id,ID_2,X_coord,Y_coord,PLACEFIPS,area,area2,propreal3
"2793","8556",52167.98050,1017313.63500,"2726216","1488050","1488050",1.000000
"2851","8557",102167.98050,1017313.63500,"2732606","5813907","5813907",1.000000
"2851","8557",102167.98050,1017313.63500,"2751892","28377485","28377485",1.000000
"2792","8728",52167.98050,1067313.63500,"2755438","2694133","2694133",1.000000
"2792","8728",52167.98050,1067313.63500,"2770402","2522687","380690",0.150907
"2850","8729",102167.98050,1067313.63500,"2704024","10917062","10917062",1.000000
"2850","8729",102167.98050,1067313.63500,"2770402","2522687","2141996",0.849093
"2791","8900",52167.98050,1117313.63500,"2768224","7155287","7155287",1.000000
"2790","9072",52167.98050,1167313.63500,"2701558","4161888","4161888",1.000000
"760","9037",-1697832.02000,1167313.63500,"5301500","1349342","1349342",1.000000
"760","9037",-1697832.02000,1167313.63500,"5315710","1061412","1061412",1.000000
"760","9037",-1697832.02000,1167313.63500,"5378680","3637150","3637150",1.000000
"818","9038",-1647832.02000,1167313.63500,"5316795","4709263","4709263",1.000000
"818","9038",-1647832.02000,1167313.63500,"5322955","16953614","5717497",0.337244
"818","9038",-1647832.02000,1167313.63500,"5329745","988512","988512",1.000000
"818","9038",-1647832.02000,1167313.63500,"5344690","9427265","9427265",1.000000
"818","9038",-1647832.02000,1167313.63500,"5357465","1282513","1282513",1.000000
"759","9209",-1697832.02000,1217313.63500,"5315115","1999892","1999892",1.000000
"759","9209",-1697832.02000,1217313.63500,"5321030","6788876","6788876",1.000000
"759","9209",-1697832.02000,1217313.63500,"5321485","538314","538314",1.000000
"759","9209",-1697832.02000,1217313.63500,"5327855","3478951","3478951",1.000000
"759","9209",-1697832.02000,1217313.63500,"5334960","24649370","24649370",1.000000
"759","9209",-1697832.02000,1217313.63500,"5348540","498862","498862",1.000000
"759","9209",-1697832.02000,1217313.63500,"5348550","60891200","59984863",0.985115
"817","9210",-1647832.02000,1217313.63500,"5333105","68560668","49353710",0.719855
"817","9210",-1647832.02000,1217313.63500,"5373065","10806989","10806989",1.000000
"758","9381",-1697832.02000,1267313.63500,"5317880","9780617","9780617",1.000000
"758","9381",-1697832.02000,1267313.63500,"5348550","60891200","906337",0.014885
"758","9381",-1697832.02000,1267313.63500,"5357850","4131950","4112905",0.995391
"816","9382",-1647832.02000,1267313.63500,"5304347","674773","674773",1.000000
"816","9382",-1647832.02000,1267313.63500,"5304370","1451667","1451667",1.000000
"816","9382",-1647832.02000,1267313.63500,"5307485","503661","503661",1.000000
"816","9382",-1647832.02000,1267313.63500,"5316170","14760039","13012322",0.881591
"816","9382",-1647832.02000,1267313.63500,"5333105","68560668","19206958",0.280145
"816","9382",-1647832.02000,1267313.63500,"5335485","2915224","2915224",1.000000
"816","9382",-1647832.02000,1267313.63500,"5343395","573849","573849",1.000000
"816","9382",-1647832.02000,1267313.63500,"5354405","1266896","1266896",1.000000
"816","9382",-1647832.02000,1267313.63500,"5357850","4131950","19045",0.004609
"816","9382",-1647832.02000,1267313.63500,"5371995","2471049","2471049",1.000000
"757","9553",-1697832.02000,1317313.63500,"5351970","4346075","4346075",1.000000
"757","9553",-1697832.02000,1317313.63500,"5371890","2075524","674786",0.325116
"815","9554",-1647832.02000,1317313.63500,"5316165","1967449","1967449",1.000000
"815","9554",-1647832.02000,1317313.63500,"5316170","14760039","1747717",0.118409
"815","9554",-1647832.02000,1317313.63500,"5316585","457890","457890",1.000000
"815","9554",-1647832.02000,1317313.63500,"5338705","154603","154603",1.000000
"815","9554",-1647832.02000,1317313.63500,"5342310","296568","296568",1.000000
"815","9554",-1647832.02000,1317313.63500,"5351830","1118319","1118319",1.000000
"876","9039",-1597832.02000,1167313.63500,"1635830","2553095","385875",0.151140
"876","9039",-1597832.02000,1167313.63500,"1664810","37247145","3876316",0.104070
"876","9039",-1597832.02000,1167313.63500,"1677050","276946","276946",1.000000
"876","9039",-1597832.02000,1167313.63500,"5300905","13318343","13318343",1.000000
"876","9039",-1597832.02000,1167313.63500,"5312735","3338684","3338684",1.000000
"876","9039",-1597832.02000,1167313.63500,"5315150","4281379","4281379",1.000000
"876","9039",-1597832.02000,1167313.63500,"5317320","17820889","17820889",1.000000
"876","9039",-1597832.02000,1167313.63500,"5322955","16953614","11236117",0.662756
"876","9039",-1597832.02000,1167313.63500,"5323165","9289719","9289719",1.000000
"876","9039",-1597832.02000,1167313.63500,"5325300","8876744","7758286",0.874001
"876","9039",-1597832.02000,1167313.63500,"5328590","19781590","19781590",1.000000
"876","9039",-1597832.02000,1167313.63500,"5339335","15898474","15898474",1.000000
"876","9039",-1597832.02000,1167313.63500,"5344480","18880209","18880209",1.000000
"876","9039",-1597832.02000,1167313.63500,"5345985","1901318","1901318",1.000000
"876","9039",-1597832.02000,1167313.63500,"5352267","21100052","21100052",1.000000
"876","9039",-1597832.02000,1167313.63500,"5367000","180016160","180016160",1.000000
"876","9039",-1597832.02000,1167313.63500,"5367167","98420559","98361401",0.999399
"876","9039",-1597832.02000,1167313.63500,"5372170","3110023","3110023",1.000000
"875","9211",-1597832.02000,1217313.63500,"5300380","913978","913978",1.000000
"875","9211",-1597832.02000,1217313.63500,"5312140","7715207","7715207",1.000000
"875","9211",-1597832.02000,1217313.63500,"5316340","1359088","1359088",1.000000
"875","9211",-1597832.02000,1217313.63500,"5340385","8449492","8449492",1.000000
"875","9211",-1597832.02000,1217313.63500,"5367210","2952020","2952020",1.000000
"875","9211",-1597832.02000,1217313.63500,"5373885","1107563","1107563",1.000000
"874","9383",-1597832.02000,1267313.63500,"5314170","7693327","7693327",1.000000
"874","9383",-1597832.02000,1267313.63500,"5333560","1505429","1505429",1.000000
"932","9384",-1547832.02000,1267313.63500,"5345285","801437","801437",1.000000
"932","9384",-1547832.02000,1267313.63500,"5345320","557185","557185",1.000000
"873","9555",-1597832.02000,1317313.63500,"5350045","1503198","1503198",1.000000
"643","9207",-1797832.02000,1217313.63500,"5311615","16617052","16617052",1.000000
"643","9207",-1797832.02000,1217313.63500,"5311685","723418","723418",1.000000
