"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10470073,-0.10331158,-0.10271882,-0.10080151,-0.10087415,-0.10008744,-0.09982469,-0.09875103,-0.09609659,-0.09494565
-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.1038554,-0.10328983,-0.10308415,-0.10279912,-0.10241226,-0.10039536,-0.09786444,-0.09814746,-0.09678324,-0.09543547
-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.1046833,-0.10356301,-0.10297953,-0.10221611,-0.10157588,-0.09927579,-0.09720397,-0.09688827,-0.09512605,-0.09554711
-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.10261231,-0.1011266,-0.10045386,-0.09926018,-0.09776878,-0.09474427,-0.09450082,-0.09226347,-0.08768748,-0.08532767
-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10544018,-0.10527774,-0.10530511,-0.10476396,-0.10436583,-0.10329681,-0.10166126,-0.10167136,-0.0996029,-0.09867562
-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10443232,-0.10428356,-0.10394819,-0.10373482,-0.10237988,-0.10013751,-0.10055227,-0.09980558,-0.09914906
-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10473599,-0.10443232,-0.10428356,-0.10394819,-0.10373482,-0.10237988,-0.10013751,-0.10055227,-0.09980558,-0.09914906
-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10455437,-0.10422195,-0.10411577,-0.10391511,-0.10360931,-0.10221864,-0.10034083,-0.10061576,-0.09953127,-0.09858305
-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10484419,-0.10455792,-0.10438937,-0.10377973,-0.10362011,-0.10229241,-0.09970364,-0.10029504,-0.09937246,-0.09823527
-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.10174697,-0.09962878,-0.09744882,-0.09603524,-0.09423286,-0.08968231,-0.08594679,-0.07611774,-0.06249708,-0.0531956
-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10419134,-0.10277103,-0.10204882,-0.10049617,-0.09908264,-0.09412291,-0.09118631,-0.08681443,-0.0810647,-0.07987856
-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10380123,-0.10378018,-0.10384896,-0.10335831,-0.10189615,-0.10074747,-0.10074275,-0.09898264,-0.09745104
-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10419114,-0.10380123,-0.10378018,-0.10384896,-0.10335831,-0.10189615,-0.10074747,-0.10074275,-0.09898264,-0.09745104
-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10465886,-0.10355313,-0.10356346,-0.10251295,-0.10178995,-0.09924521,-0.0974654,-0.09623731,-0.09264365,-0.09213851
-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10462561,-0.10276584,-0.1021219,-0.10139926,-0.10084835,-0.09753608,-0.09263147,-0.08808961,-0.07695117,-0.06726793
-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10378804,-0.10073614,-0.09675612,-0.09620415,-0.09255199,-0.08400991,-0.08169055,-0.07651662,-0.06292937,-0.05109941
-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10358494,-0.10312857,-0.10210138,-0.10126163,-0.09812548,-0.09569477,-0.09405721,-0.09113293,-0.0911963
-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10473274,-0.10358494,-0.10312857,-0.10210138,-0.10126163,-0.09812548,-0.09569477,-0.09405721,-0.09113293,-0.0911963
-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10340897,-0.10084508,-0.09987863,-0.09881898,-0.09884627,-0.09884097,-0.09922862,-0.09864776,-0.09764685,-0.09765258
-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10309706,-0.10169652,-0.10103236,-0.09989952,-0.09849451,-0.09414094,-0.09250638,-0.08859036,-0.08355651,-0.08218845
-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1030794,-0.1000784,-0.09860287,-0.09516464,-0.09430084,-0.09236532,-0.09024275,-0.08516643,-0.07442673,-0.06666821
-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.10312908,-0.09967994,-0.09811916,-0.09595875,-0.0953243,-0.0940819,-0.0928909,-0.08932711,-0.08181082,-0.07645964
-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10398123,-0.10274451,-0.10212309,-0.10095226,-0.09964771,-0.09492104,-0.09252636,-0.08869624,-0.08364117,-0.08267839
-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10497141,-0.10473093,-0.10463705,-0.10427004,-0.10406331,-0.10311586,-0.10157644,-0.10184592,-0.10121355,-0.1006973
-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10290291,-0.10094893,-0.0997916,-0.09804169,-0.09698918,-0.0955796,-0.09593909,-0.09442503,-0.09240642,-0.0919491
