"sci","FIA  Code","code.x","code.y"
"CRATAEGUS","0500","CRATA","CR"
"CRATAEGUS BRAINERDII","0503","CRBR3","CRBR3"
"CRATAEGUS CALPODENDRON","0504","CRCA","CRCA"
"CRATAEGUS CHRYSOCARPA","0505","CRCH","CRCH"
"CRATAEGUS CRUS-GALLI","0501","CRCR2","CRCR"
"CRATAEGUS DILATATA","0506","CRDI","CRDI"
"CRATAEGUS FLABELLATA","0507","CRFL","CRFL"
"CRATAEGUS MOLLIS","0502","CRMO2","CRMO1"
"CRATAEGUS MONOGYNA","0508","CRMO3","CROX"
"CRATAEGUS PEDICELLATA","0509","CRPE","CRCO"
"CRATAEGUS PHAENOPYRUM","5091","CRPH","CRPH"
"CRATAEGUS SUCCULENTA","5092","CRSU5","CRSU"
"CRATAEGUS UNIFLORA","5093","CRUN","CRUN"
"CUPANIOPSIS ANACARDIOIDES","0866","CUAN4","CUAN"
"CUPRESSUS","0050","CUPRE","CU"
"CUPRESSUS ARIZONICA","0051","CUAR","CUAR"
"CUPRESSUS BAKERI","0052","CUBA","CUBA"
"CUPRESSUS FORBESII","0053","CUFO2","CUFO2"
"CUPRESSUS MACNABIANA","0056","CUMA","CUMA2"
"CUPRESSUS MACROCARPA","0054","CUMA2","CUMA"
"CUPRESSUS SARGENTII","0055","CUSA3","CUSA"
"DIOSPYROS TEXANA","0522","DITE3","DITE"
"DIOSPYROS VIRGINIANA","0521","DIVI5","DIVI"
"EBENOPSIS EBANO","0868","EBEB","EBEB"
"ELAEAGNUS ANGUSTIFOLIA","0997","ELAN","ELAN"
"EUCALYPTUS","0510","EUCAL","EU1"
"EUCALYPTUS CAMALDULENSIS","0512","EUCA2","EUCA1"
"EUCALYPTUS GLOBULUS","0511","EUGL","EUGL"
"EUCALYPTUS GRANDIS","0513","EUGR12","EUGR"
"EUCALYPTUS ROBUSTA","0514","EURO2","EURO"
"EUGENIA RHOMBEA","0873","EURH","EURH"
"EXOTHEA PANICULATA","0874","EXPA","EXPA"
"FAGUS GRANDIFOLIA","0531","FAGR","FAGR"
"FICUS AUREA","0876","FIAU","FIAU"
"FICUS CITRIFOLIA","0877","FICI","FICI"
"FRAXINUS","0540","FRAXI","FR"
"FRAXINUS AMERICANA","0541","FRAM2","FRAM"
"FRAXINUS BERLANDIERIANA","5491","FRBE","FRBE"
"FRAXINUS CAROLINIANA","0548","FRCA3","FRCA"
"FRAXINUS LATIFOLIA","0542","FRLA","FRLA"
"FRAXINUS NIGRA","0543","FRNI","FRNI"
"FRAXINUS PENNSYLVANICA","0544","FRPE","FRPE"
"FRAXINUS PROFUNDA","0545","FRPR","FRPR"
"FRAXINUS QUADRANGULATA","0546","FRQU","FRQU"
"FRAXINUS TEXENSIS","0549","FRTE","FRTE"
"FRAXINUS VELUTINA","0547","FRVE2","FRVE"
"GINKGO BILOBA","0561","GIBI2","GIBI"
"GLEDITSIA","0550","GLEDI","GL3"
"GLEDITSIA AQUATICA","0551","GLAQ","GLAQ"
"GLEDITSIA TRIACANTHOS","0552","GLTR","GLTR"
"GUAPIRA DISCOLOR","0882","GUDI","GUDI"
"GYMNOCLADUS DIOICUS","0571","GYDI","GYDI"
"HALESIA","0580","HALES","HA"
"HALESIA CAROLINA","0581","HACA3","HACA"
"HALESIA DIPTERA","0582","HADI3","HADI"
"HALESIA PARVIFLORA","0583","HACA3","HACA"
"HIPPOMANE MANCINELLA","0883","HIMA2","HIMA"
"ILEX","0600","JUGLA","ILSP"
"ILEX OPACA","0591","ILOP","ILOP"
"JUNIPERUS","0057","JUNIP","JU"
"JUNIPERUS ASHEI","0061","JUAS","JUAS"
"JUNIPERUS CALIFORNICA","0062","JUCA7","JUCA1"
"JUNIPERUS COAHUILENSIS","0059","JUCO11","JUCO2"
"JUNIPERUS DEPPEANA","0063","JUDE2","JUDE"
"JUNIPERUS FLACCIDA","0060","JUFL","JUFL"
"JUNIPERUS OCCIDENTALIS","0064","JUOC","JUOC"
"JUNIPERUS PINCHOTII","0058","JUPI","JUPI"
"JUNIPERUS SCOPULORUM","0066","JUSC2","JUSC"
"JUNIPERUS VIRGINIANA","0068","JUVI","JUVI"
"JUNIPERUS VIRGINIANA VAR. SILICICOLA","0067","JUVIS","JUSI"
"LAGUNCULARIA RACEMOSA","0988","LARA2","LARA"
"LARIX","0070","LARIX","LA10"
"LARIX LARICINA","0071","LALA","LALA"
"LARIX LYALLII","0072","LALY","LALA2"
"LARIX OCCIDENTALIS","0073","LAOC","LAOC"
"LEUCAENA PULVERULENTA","0869","LEPU3","LEPU3"
"LIQUIDAMBAR STYRACIFLUA","0611","LIST2","LIST"
"LIRIODENDRON TULIPIFERA","0621","LITU","LITU"
"LITHOCARPUS DENSIFLORUS","0631","LIDE3","LIDE"
"LYSILOMA LATISILIQUUM","0884","LYLA3","LYLA"
"MACLURA POMIFERA","0641","MAPO","MAPO"
"MAGNOLIA","0650","MAGNO","MA1"
"MAGNOLIA ACUMINATA","0651","MAAC","MAAC"
"MAGNOLIA FRASERI","0655","MAFR","MAFR"
"MAGNOLIA GRANDIFLORA","0652","MAGR4","MAGR"
"MAGNOLIA MACROPHYLLA","0654","MAMA2","MAMA"
"MAGNOLIA PYRAMIDATA","0657","MAPY","MAPY"
"MAGNOLIA TRIPETALA","0658","MATR","MATR"
"MAGNOLIA VIRGINIANA","0653","MAVI2","MAVI"
"MALUS","0660","MALUS","MA2"
"MALUS ANGUSTIFOLIA","0662","MAAN3","PYAN"
"MALUS CORONARIA","0663","MACO5","PYCO3"
"MALUS FUSCA","0661","MAFU","PYFU"
"MALUS IOENSIS","0664","MAIO","PYIO"
"MANGIFERA INDICA","0885","MAIN3","MAIN"
"MELALEUCA QUINQUENERVIA","0992","MEQU","MEQU"
"MELIA AZEDARACH","0993","MEAZ","MEAZ"
"METOPIUM TOXIFERUM","0886","METO3","METO"
"MORUS","0680","MORUS","MO"
"MORUS ALBA","0681","MOAL","MOAL"
"MORUS MICROPHYLLA","0683","MOMI","MOMI"
"MORUS NIGRA","0684","MONI","MONI"
"MORUS RUBRA","0682","MORU2","MORU"
"NYSSA","0690","NYSSA","NY2"
"NYSSA AQUATICA","0691","NYAQ2","NYAQ"
"NYSSA BIFLORA","0694","NYBI","NYBI"
"NYSSA OGECHE","0692","NYOG","NYOG"
"NYSSA SYLVATICA","0693","NYSY","NYSY"
"OLNEYA TESOTA","0990","OLTE","OLTE"
"OSTRYA VIRGINIANA","0701","OSVI","OSVI"
"OXYDENDRUM ARBOREUM","0711","OXAR","OXAR"
"PAULOWNIA TOMENTOSA","0712","PATO2","PATO"
"PERSEA AMERICANA","7211","PEAM3","PEAM"
"PERSEA BORBONIA","0721","PEBO","PEBO"
"PICEA","0090","PICEA","PI1"
"PICEA ABIES","0091","PIAB","PIAB"
"PICEA BREWERIANA","0092","PIBR","PIBR"
"PICEA ENGELMANNII","0093","PIEN","PIEN"
"PICEA GLAUCA","0094","PIGL","PIGL1"
"PICEA MARIANA","0095","PIMA","PIMA"
"PICEA PUNGENS","0096","PIPU","PIPU"
"PICEA RUBENS","0097","PIRU","PIRU"
"PICEA SITCHENSIS","0098","PISI","PISI"
"PINUS","0100","PINUS","PI2"
"PINUS ALBICAULIS","0101","PIAL","PIAL"
"PINUS ARISTATA","0102","PIAR","PIAR"
"PINUS ARIZONICA","0135","PIAR5","PIAR5"
"PINUS ATTENUATA","0103","PIAT","PIAT"
"PINUS BALFOURIANA","0104","PIBA","PIBA2"
"PINUS BANKSIANA","0105","PIBA2","PIBA"
"PINUS CEMBROIDES","0140","PICE","PICE"
"PINUS CLAUSA","0107","PICL","PICL"
"PINUS CONTORTA","0108","PICO","PICO"
"PINUS COULTERI","0109","PICO3","PICO2"
"PINUS DISCOLOR","0134","PIDI3","PIDI"
"PINUS ECHINATA","0110","PIEC2","PIEC"
"PINUS EDULIS","0106","PIED","PIED"
"PINUS ELLIOTTII","0111","PIEL","PIEL"
"PINUS ELLIOTTII VAR. ELLIOTTII","0144","PIELE2","PICA2"
"PINUS ENGELMANNII","0112","PIEN2","PIEN3"
"PINUS FLEXILIS","0113","PIFL2","PIFL"
"PINUS GLABRA","0115","PIGL2","PIGL2"
"PINUS JEFFREYI","0116","PIJE","PIJE2"
"PINUS LAMBERTIANA","0117","PILA","PILA"
"PINUS LEIOPHYLLA","0118","PILE","PILE"
"PINUS LONGAEVA","0142","PILO","PILO"
"PINUS MONOPHYLLA","0133","PIMO","PIMO2"
"PINUS MONOPHYLLA VAR. FALLAX","0143","PIMOF","PIMO2"
"PINUS MONTICOLA","0119","PIMO3","PIMO3"
"PINUS MURICATA","0120","PIMU","PIMUmja"
"PINUS NIGRA","0136","PINI","PINI"
"PINUS PALUSTRIS","0121","PIPA2","PIPA"
"PINUS PONDEROSA","0122","PIPO","PIPO"
"PINUS PUNGENS","0123","PIPU5","PIPU3"
"PINUS QUADRIFOLIA","0138","PIQU","PIQU"
"PINUS RADIATA","0124","PIRA2","PIRA"
"PINUS REMOTA","0141","PIRE5","PIRE5"
"PINUS RESINOSA","0125","PIRE","PIRE"
"PINUS RIGIDA","0126","PIRI","PIRI"
"PINUS SABINIANA","0127","PISA2","PISA"
"PINUS SEROTINA","0128","PISE","PISE"
"PINUS STROBIFORMIS","0114","PIST3","PIST2"
"PINUS STROBUS","0129","PIST","PIST"
"PINUS SYLVESTRIS","0130","PISY","PISY"
"PINUS TAEDA","0131","PITA","PITA"
"PINUS TORREYANA","0139","PITO","PITO2"
"PINUS VIRGINIANA","0132","PIVI2","PIVI"
"PINUS WASHOENSIS","0137","PIWA","PIWA"
"PISCIDIA PISCIPULA","0887","PIPI3","PIPI1"
"PLANERA AQUATICA","0722","PLAQ","PLAQ"
"PLATANUS","0729","PLATA","PL3"
"PLATANUS OCCIDENTALIS","0731","PLOC","PLOC"
"PLATANUS RACEMOSA","0730","PLRA","PLRA"
"PLATANUS WRIGHTII","0732","PLWR2","PLWR"
"POPULUS","0740","POPUL","PO"
"POPULUS ALBA","0752","POAL7","POAL"
"POPULUS ANGUSTIFOLIA","0749","POAN3","POAN"
"POPULUS BALSAMIFERA","0741","POBA2","POBA"
"POPULUS DELTOIDES","0742","PODE3","PODE"
"POPULUS FREMONTII","0748","POFR2","POFR"
"POPULUS GRANDIDENTATA","0743","POGR4","POGR"
"POPULUS HETEROPHYLLA","0744","POHE4","POHE"
"POPULUS NIGRA","0753","PONI","PONI"
"POPULUS TREMULOIDES","0746","POTR5","POTR1"
"PROSOPIS","0755","PROSO","PR6"
"PROSOPIS GLANDULOSA","0756","PRGL2","PRGL2"
"PROSOPIS PUBESCENS","0758","PRPU","PRPU2"
"PROSOPIS VELUTINA","0757","PRVE","PRVE"
"PRUNUS","0760","PRUNU","PR"
"PRUNUS ALLEGHANIENSIS","0769","PRAL5","PRAL"
"PRUNUS AMERICANA","0766","PRAM","PRAM"
"PRUNUS ANGUSTIFOLIA","0770","PRAN3","PRAN"
"PRUNUS AVIUM","0771","PRAV","PRAV"
"PRUNUS CERASUS","0772","PRCE","PRCERmj"
"PRUNUS DOMESTICA","0773","PRDO","PRDO"
"PRUNUS EMARGINATA","0768","PREM","PREM"
"PRUNUS MAHALEB","0774","PRMA","PRMAHmj"
"PRUNUS NIGRA","0765","PRNI","PRNI"
"PRUNUS PENSYLVANICA","0761","PRPE2","PRPE1"
"PRUNUS PERSICA","0764","PRPE3","PRPE2"
"PRUNUS SEROTINA","0762","PRSE2","PRSE1"
"PRUNUS VIRGINIANA","0763","PRVI","PRVI"
"PSEUDOTSUGA","0200","PSEUD7","PSME"
"PSEUDOTSUGA MACROCARPA","0201","PSMA","PSMA"
"PSEUDOTSUGA MENZIESII","0202","PSME","PSME"
"QUERCUS","0800","QUERC","QU"
"QUERCUS","0850","QUERC","QU"
"QUERCUS AGRIFOLIA","0801","QUAG","QUAG"
"QUERCUS ALBA","0802","QUAL","QUAL"
"QUERCUS ARIZONICA","0803","QUAR","QUAR"
"QUERCUS BICOLOR","0804","QUBI","QUBI"
"QUERCUS BUCKLEYI","8513","QUBU2","QUBU2"
"QUERCUS BUCKLEYI","0828","QUBU2","QUBU2"
"QUERCUS CHRYSOLEPIS","0805","QUCH2","QUCH"
"QUERCUS COCCINEA","0806","QUCO2","QUCO"
"QUERCUS DOUGLASII","0807","QUDO","QUDO"
"QUERCUS ELLIPSOIDALIS","0809","QUEL","QUEL"
"QUERCUS EMORYI","0810","QUEM","QUEM"
"QUERCUS ENGELMANNII","0811","QUEN","QUEN"
"QUERCUS FALCATA","0812","QUFA","QUFA"
"QUERCUS GAMBELII","0814","QUGA","QUGA"
"QUERCUS GARRYANA","0815","QUGA4","QUGA2"
