"","0","1","3","5","8","9","10"
"abies",0.285714285714286,0,0.285714285714286,0,0.428571428571429,0,0
"acer",3.90909090909091,1.29545454545455,0,0,1.66666666666667,0,0
"aesculus",0,0,0,0.15,0,0,0
"amelanchier",0,0,1,0,0,0,0
"betula",0.1,0.641617933723197,0.136111111111111,3,0,0,0
"castanea",0,0.666666666666667,0,0,0,0,0
"chamaecyparis",0,1,0,0,0,0,0
"crataegus",0,4,3.33333333333333,0,0,0,0
"fraxinus",0,0,1.25,0,1,1.5,2.5
"gleditsia",0.05,0.1,0,0,0,0,0
"juniperus",0,0.818181818181818,0,0,0,0,0
"larix",0,0.037037037037037,0.177946127946128,0.127946127946128,0,0,0
"liquidambar",0,0.433333333333333,0,0,0,0,0
"morus",0,0.666666666666667,0,0,0,0,0
"ostrya",0,0,0.025,0,0,0,0
"pinus",32.5,0.833333333333333,0.166666666666667,0,0,0,0
"populus",0,0.225,1.5,0,0,0,0
"quercus",19.5,0,7.3,0,0,0,0
"salix",0,0.105263157894737,0.117647058823529,0,0,0,0
"sorbus",0,0,0.0425531914893617,0,0,0,0
"taxus",0,0.142857142857143,0,0,0,0,0
"tilia",0,0.428571428571429,1.5,0,0,0,0
"tsuga",0.666666666666667,0,0.666666666666667,0,0,0,0.1
"ulmus",0.571428571428571,0,6.28571428571429,0,0,0,0
