COLUMN_NAM,LATIN_NAME,COMMON_NAM,YEAR,host.radius,pest.radius,spread,pest.radius2,pest.area2,Region,Guild,Continent,host.density,PHAGY,discpopden,intpopden,popden19002,popden19102,popden19202,popden19302,popden19402,popden19502,popden19602,popden19702,popden19802,popden19902,Popden20002,PopdenEst2007,Rd_Freq2,RdLengthKM2,Income19992,Dist2PortM2,Forestland2,HostFamCnt2,HostSppCnt2,HostGenCnt2,TreeDen2,TreeVol2,Total.Host.Volume,Host.Volume.Where.Pest.Present,Closest.Port,NumHosts,NumHostsUNK,PHAGYUNK,X,Host.Vol.pest.present.unk,X.1,X.2
SEEBB_pres,Scolytus multistriatus,Smaller European Elm Bark Beetle,100,981,1485,14.85230377,1485.230377,6930068.365,SE,Borers,Europe,85.93280108,MONO,17.393243,4086.117809,-0.52101735,-0.488366451,-0.458661578,-0.422846109,-0.405006739,-0.367762019,-0.319556899,-0.276884369,-0.25023794,-0.223679504,-0.176889561,-0.151822321,27.30163265,348.2617332,17862.69042,854674.3332,277571.044,9.929859,24.61890947,14.39211241,9170.138175,14748674.04,259781516.1,259781516.1,SL,-0.227968129,,,,,NA,1
BEBB_pres,Scolytus schevyrewi,Banded Elm Bark Beetle,6,934,1261,210.1226873,1260.736124,4993421.952,SE,Borers,Asia,50.65204986,POLY,30.31353277,220.7162892,-0.610902842,-0.595414023,-0.583326903,-0.567633591,-0.56039896,-0.541612577,-0.514057001,-0.491110166,-0.467156845,-0.443798168,-0.410792019,-0.390020885,28.31092312,390.2953117,16860.25207,855803.6804,218288.1172,5.515819502,13.11833851,7.803542175,7687.394973,22784492.97,138676019.2,62820000.65,SL,-0.408379753,,,,,NA,0.452998298
SWW_pres,Sirex noctilio,Sirex Wood Wasp,24,1233,161,6.729147942,161.4995506,81939.349,NE,Borers,Eurasia,1510.81193,MONO,104.6597257,3186.667807,-0.402815273,-0.338790242,-0.274588059,-0.18511808,-0.148497493,-0.057277043,0.071353903,0.177846426,0.223468808,0.305488971,0.397530182,0.447334227,78.45732938,549.7070915,19101.80506,447954.5756,190802.3995,11.42181968,28.29079308,16.12148296,8527.62745,11702552.61,7216436237,35373862.43,NY,1.395736491,,,,,NA,0.004901846
PSB_pres,Tomicus piniperda,Pine Shoot Beetle,17,1228,626,36.82076785,625.9530534,1230930.116,NE,Borers,Eurasia,1421.482015,MONO,173.5953855,3260.560255,-0.613187305,-0.56996607,-0.514858783,-0.383802571,-0.320958575,-0.152864372,0.126754584,0.341907365,0.509420858,0.811571397,0.994180902,1.122730334,399.6953335,2131.028926,18526.91518,79437.30156,189501.8598,6.904767585,20.29367465,10.00502833,967.7292183,22368230.06,6729568390,675493904.9,NY,1.260427773,,,,,NA,0.100377003
PFW_pres,Acantholyda erythrocephala,Pine False Webworm,84,749,164,1.953832043,164.1218916,84621.925,NE,Defoliators,Eurasia,443.1454215,MONO,17.54885609,2609.679743,-0.562502745,-0.539483437,-0.519689786,-0.495815134,-0.484487113,-0.458905478,-0.422959265,-0.392182574,-0.369570566,-0.347160449,-0.312039391,-0.292331475,28.37777242,340.109921,17470.89178,926969.2101,189266.3136,7.762937809,17.87401028,10.77415515,7415.378831,16055000.31,781938915.9,92389164.61,NY,-0.318173941,,,,,NA,0.118153941
LC_pres,Coleophora laricella,Larch Casebearer,123,473,586,4.764875459,586.0796814,1079103.754,NE,Defoliators,Europe,335.9738454,MONO,3.819003027,7980.471662,-0.636821647,-0.592570609,-0.5357512,-0.392949308,-0.316507996,-0.138664899,0.087612172,0.21357406,0.300704801,0.505171917,0.624054769,0.702750708,305.5971506,1305.288761,16981.45996,183603.2198,297362.6407,7.626643291,19.65498555,10.22330711,1087.274524,11354892.97,235885677.7,235622312.2,NY,-0.498585565,,,,,NA,0.998883504
EPNM_pres,Contarinia baeri,European Pine Needle Midge,49,924,208,4.254500161,208.4705079,136533.468,NE,Defoliators,Europe,593.1810808,MONO,318.0541959,20933.25979,-0.583175915,-0.436379934,-0.243233681,0.316799398,0.569740268,1.179032715,2.043975652,2.580122309,2.848010563,3.524110116,3.850253102,4.023567622,987.8676338,2220.5681,22260.40582,46313.98262,115416.7354,8.261788645,17.57465712,10.20832249,1916.265149,15523834.04,1590819452,63940632.48,NY,-0.318173941,,,,,NA,0.040193519
AOW_pres,Cyrtepistomus castaneus,Asiatic Oak Weevil,76,923,929,12.22758831,929.2967115,2713055.47,SE,Defoliators,Asia,1522.359935,POLY,36.07153155,4086.342911,-0.46601335,-0.432286036,-0.400261427,-0.36166949,-0.340976947,-0.303801326,-0.247992519,-0.199905858,-0.164693501,-0.134829749,-0.086308198,-0.055635198,22.85357962,231.261538,17561.86327,719346.4453,119740.3495,13.78682213,31.05396653,17.87112982,14045.04978,15665136.88,4075955778,4034499468,SL,-0.363276847,,,,,NA,0.989829058
IPS_pres,Diprion similis,Introduced Pine Sawfly,95,545,718,7.560464107,718.2440902,1620667.769,NE,Defoliators,Europe,549.2925112,MONO,17.24322468,3478.179443,-0.547641257,-0.522297183,-0.498814697,-0.468810895,-0.452670199,-0.416963408,-0.366181593,-0.322485907,-0.282910751,-0.240265965,-0.1876517,-0.150743748,34.81046409,360.9364233,17146.8478,671196.0155,195331.5781,9.079413259,21.13560532,12.23955388,9731.427909,24033064.58,513040767.6,499568900.4,NY,-0.543688471,,,,,NA,0.973741137
CBT_pres,Enarmonia formosana,Cherry Bark Tortrix,9,904,104,11.59271916,104.3344724,34198.379,NW,Defoliators,Eurasia,128.244926,MONO,149.783152,1095.346931,-0.569633595,-0.449148152,-0.392383174,-0.341093378,-0.307128688,-0.164232616,-0.053495631,0.091651083,0.227787245,0.398023306,0.608424924,0.722657114,120.2905139,516.7911958,23093.74412,1378956.864,287629.0257,7.783991809,17.96230199,13.35775953,4666.047999,7893285.898,329396510.7,40812.90168,LB,-0.137762316,,,,,NA,0.000123902
ESN_pres,Epinotia nanana,European Spruce Needleminer,102,814,769,4.366875497,445.4213007,623292.407,NE,Defoliators,Europe,843.627262,MONO,57.66846814,12875.66844,-0.177422115,-0.06205775,0.033058683,0.155874316,0.208273506,0.309252001,0.447713408,0.576112875,0.608010785,0.673404331,0.780076695,0.833334085,40.39818036,265.2586652,19742.13923,403894.6734,98047.13194,15.29112345,34.41820956,20.61676161,17262.23218,16531016.51,1756365988,633563048.6,NY,-0.273071035,,,,,NA,0.36072382
BM_pres,Euproctis chrysorrhoea,Browntail Moth,112,908,34,0.3077208,34.46472959,3731.639,NE,Defoliators,Europe,544.4665315,POLY,39.88729886,8319.254812,-0.329116488,-0.30788935,-0.271454574,-0.249027194,-0.206639218,-0.127768456,-0.038806516,0.045338453,0.227942135,0.389725617,0.526395464,0.551269052,88.7485909,481.4984415,23804.49902,48327.05186,103544.6744,8.85839895,23.43765702,13.87012543,4368.411425,6192674.446,1409083536,4005506.997,NY,-0.408379753,,,,,NA,0.002842633
BL_pres,Fenusa pusilla,Birch Leafminer,148,748,926,4.615516739,683.0964774,1465932.469,NE,Defoliators,Europe,281.0416237,MONO,24.54304257,6333.732559,-0.460021116,-0.416873314,-0.376525156,-0.330251243,-0.311365533,-0.265543962,-0.200925321,-0.148045461,-0.131278113,-0.109833932,-0.067122912,-0.048415061,30.11186359,321.4154005,18526.62544,909964.987,236135.5408,9.485042231,24.25026809,14.48900315,5897.308874,8393308.863,494493883.6,405120267.2,SL,-0.227968129,,,,,NA,0.819262443
ELM_pres,Fenusa ulmi,Elm Leafminer,84,927,1098,13.07045235,1097.917997,3786950.959,SE,Defoliators,Eurasia,49.87841071,MONO,27.93940604,4939.578534,-0.510038117,-0.485039511,-0.431046124,-0.356803366,-0.330589318,-0.259837363,-0.168065857,-0.10154333,-0.076485177,-0.074068602,-0.033387405,-0.024782897,18.3098914,196.1689,18650.68125,914725.3289,122896.6178,11.82554145,33.85749569,18.7655765,3868.051246,6472558.35,134749965.1,134490304.8,SL,-0.498585565,,,,,NA,0.998073021
ESB_pres,Gonipterus scutellatus,Eucalyptus Snout Beetle,15,53,80,5.338339989,80.07509984,20143.96,SW,Defoliators,Australia,9.70300547,MONO,116.6217038,2096.704647,-0.307715773,-0.231133653,-0.154427071,-0.06212374,-0.029441198,0.051641211,0.170939362,0.268930579,0.288485302,0.325518608,0.395125586,0.424018723,34.43397644,296.9279087,19290.39659,491319.2276,183760.2394,12.65736139,32.14366922,18.82260135,10117.15102,9472642.328,84173.9433,37915.52142,LB,-0.543688471,,,,UNK,NA,NA
MW_pres,Homadaula anisocentra,Mimosa Webworm,67,513,956,14.2733223,956.3125944,2873092.599,SE,Defoliators,Asia,38.59391014,OLIGO,17.80552985,5682.953398,-0.643355272,-0.629592631,-0.607843298,-0.557064234,-0.517500056,-0.433134366,-0.234875953,-0.063193611,0.209613712,0.478320617,0.523385653,0.700899351,51.50796924,480.9176177,19033.40565,673676.8513,69178.73458,8.522723696,13.44070798,9.386676081,19441.27017,73563923.61,31897939.22,31703607.15,SL,-0.543688471,,,,,NA,0.993907692
